"Model","k","n_var","AUC","AUC.coast","AUC.inner","AIC"
"m1",18,15,0.857539123440757,0.776035086271363,0.906178911162133,97808.3938116601
"m2",41,21,0.878723835942007,0.795056266511091,0.925275551359439,95606.403328239
"m3",37,20,0.875936474528504,0.796496133708237,0.91390956744764,95995.6829113931
"m4",30,18,0.867728527512076,0.780176320926391,0.910529128981655,96856.471650804
"m5",41,21,0.878723835942007,0.795056266511091,0.925275551359439,95606.403328239
"m5.M3lower",65,24,0.89085045619571,0.809281801885772,0.929704465239786,94698.1534160212
"m5.M4lower",64,24,0.891779261485064,0.806170285196829,0.932001695561278,94661.0062217306
