"STAID","Name","CoastDist","Model","k","AUC"
229,"BADAJO",163,"m5.M3lower",65,0.94439798587264
230,"MADRID",303,"m5.M3lower",65,0.936755697894966
231,"MALAGA",1.7,"m5.M3lower",65,0.725537166085947
232,"NAVACE",290.6,"m5.M3lower",65,0.913824572382144
233,"SALAMA",259.9,"m5.M3lower",65,0.918474229087084
234,"SAN SE",0.9,"m5.M3lower",65,0.92121664414369
236,"TORTOS",17.6,"m5.M3lower",65,0.818326347738112
237,"VALENC",3.1,"m5.M3lower",65,0.677008539432084
238,"ZARAGO",172.1,"m5.M3lower",65,0.915051350064613
335,"FABRA ",8.3,"m5.M3lower",65,0.764168819982773
336,"ALBACE",136,"m5.M3lower",65,0.919257429686878
414,"BURGOS",118.2,"m5.M3lower",65,0.947906498844079
416,"CIUDAD",248.3,"m5.M3lower",65,0.943141249319268
420,"A CORU",1.4,"m5.M3lower",65,0.808177620274914
421,"MURCIA",39,"m5.M3lower",65,0.848884688090737
423,"SEVILL",60.6,"m5.M3lower",65,0.922729381391315
424,"SORIA ",170.5,"m5.M3lower",65,0.927245876554632
1393,"BILBAO",8.7,"m5.M3lower",65,0.904717432950192
1394,"SANTIA",34.3,"m5.M3lower",65,0.913794029209622
1396,"PONFER",107.8,"m5.M3lower",65,0.935393948147613
1397,"LEON V",103.8,"m5.M3lower",65,0.929829161540168
1398,"LOGRON",94.3,"m5.M3lower",65,0.931801684088269
1399,"ZAMORA",222.6,"m5.M3lower",65,0.927918379582049
1401,"REUS/A",6,"m5.M3lower",65,0.751040345090079
2969,"BCN/AE",1.4,"m5.M3lower",65,0.766769255050505
3905,"VITORI",54.7,"m5.M3lower",65,0.949166414604203
3908,"ALMERI",1.1,"m5.M3lower",65,0.749489603024575
3910,"GIJON ",2,"m5.M3lower",65,0.711494449188728
3921,"CACERE",211.1,"m5.M3lower",65,0.921547202797203
3922,"SANTAN",0.2,"m5.M3lower",65,0.825529661016949
3924,"CASTEL",6,"m5.M3lower",65,0.836469423124536
3937,"HUELVA",2.9,"m5.M3lower",65,0.879484963322474
3943,"LLEIDA",71.1,"m5.M3lower",65,0.934913523148817
3963,"MORON ",57.3,"m5.M3lower",65,0.933241997758127
3970,"VALLAD",189.4,"m5.M3lower",65,0.943839441535777
3971,"DAROCA",172,"m5.M3lower",65,0.945235993779683
