Ix,t,l,g.300.36N.5W,g.300.37N.5W,g.300.36N.4W,g.300.37N.4W,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.36N.5W,g.500.37N.5W,g.500.36N.4W,g.500.37N.4W,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.36N.5W,g.700.37N.5W,g.700.36N.4W,g.700.37N.4W,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
0,1,1,92392.63,92322.7,92576.164,92473.67,91813.68,93298.62,92628.27,91646.234,56525.72,56474.73,56595.98,56565.734,56356.555,57106.953,56763.94,56210.547,30541.27,30540.545,30608.852,30600.572,30787.064,30986.807,30854.543,30361.09,-Inf,0
0,1,2,91862.72,92030.734,91936.29,92112.35,91689.34,93210.875,92580.38,91771.336,56203.99,56320.824,56274.785,56389.08,56298.07,57040.04,56758.32,55972.457,30308.102,30440.158,30377.13,30507.635,30708.41,30950.791,30798.242,30154.621,-Inf,0
0,1,3,91705.82,91785.33,91665.78,91757.164,91542.21,92331.33,92041.66,91700.266,55966.57,56044.19,55993.87,56064.133,56103.08,56641.35,56368.332,56000.562,30227.688,30283.678,30241.658,30297.959,30560.934,30679.64,30497.7,30215.889,-Inf,0
0,1,4,92066.18,92086.68,91997.79,92034.19,91657.734,92333.82,91421.32,92260.25,56150.453,56160.758,56132.79,56127.703,56103.21,56604.28,55778.535,56328.453,30317.934,30318.969,30312.758,30288.438,30455.475,30765.021,30113.225,30392.24,-Inf,0
0,1,5,92226.73,92177.3,92281.33,92266.19,91884.18,92488.234,90414.19,92157.18,56415.176,56339.426,56430.164,56369.137,56183.11,56465.363,55150.727,56328.72,30493.457,30482.176,30502.46,30461.684,30469.447,30464.479,29732.682,30541.684,-Inf,0
0,1,6,91744.33,91719.805,91809.27,91812.336,92433.82,92741.31,90450.78,92245.69,56269.164,56241.19,56275.855,56247.883,56436.59,56720.848,55364.59,56576.44,30575.527,30563.004,30562.28,30554,30614.232,30720.002,30052.992,30726.521,-Inf,0
0,1,7,92012.92,91902.95,92007.94,91924.03,92408.914,92505.86,91918.86,92138.41,56431.902,56379.71,56395.5,56339.96,56534.418,56638.14,56269.43,56447.16,30642.072,30657.596,30609.576,30614.854,30736.354,30686.367,30610.61,30632.344,-Inf,0
0,1,8,91850.84,91826.9,91939.35,91920.77,92404.32,92804.336,92515.24,91589.336,56252.434,56287.9,56266.22,56294.86,56404.47,56749.89,56248.957,56175.348,30522.021,30535.06,30503.807,30498.113,30545.307,30642.59,30309.344,30510.12,-Inf,0
0,1,9,92554.13,92546.47,92579.62,92577.51,91993,93050.13,92697.625,92458.54,56448.367,56487.58,56471.52,56521.57,56077.516,56981.285,56297.805,56425.883,30468.412,30517.777,30502.357,30533.508,30316.38,30803.107,30227.998,30479.795,-Inf,0
0,1,10,92995.73,93250.336,93060.29,93293.25,91281.85,94025.28,93459.734,92912.39,56959.203,57043.25,57025.984,57096.78,55681.906,57672.527,56870.473,56787.766,30849.47,30919.742,30890.973,30949.756,30095.527,31316.016,30639.484,30739.562,-Inf,0
0,1,11,92934.805,93258.766,92982.31,93264.32,93308.766,93809.37,93550.734,93158.76,57061.72,57213.75,57095.043,57241.992,56840.492,57690.46,57255.24,57080.59,31225.047,31286.107,31234.879,31291.799,30607.816,31461.32,31195.861,31132.627,-Inf,0
0,1,12,93086.16,93216.62,92987.49,93137.11,93123.51,93310.49,92669.086,93755.53,56964.29,57058.105,56926.816,57019.83,56781.742,57279.062,56409.82,57273.04,31032.55,31094.852,31014.129,31080.777,30732.111,31207.867,30544.79,31141.32,-Inf,0
0,1,13,93227.92,93107.42,93194.4,93085.96,92208.91,92847.445,91566.35,93435.98,56990.117,56917.312,56954.25,56899.113,56138.008,56750.29,55561.594,57159.55,30839.742,30783.443,30834.672,30796.896,30294.44,30778.475,30010.975,30931.23,-Inf,0
0,1,14,93171.21,93061.25,93087.69,92990.74,91827.28,93090.75,92290.14,93833.695,56893.492,56767.29,56877.297,56761.266,55929.496,56874.22,55951.715,57155.8,30722.486,30637.414,30733.973,30664.012,30240.418,30809.42,30043.988,30880.416,-Inf,0
