Ix,t,l,g.300.41N.0W,g.300.42N.0W,g.300.41N.1E,g.300.42N.1E,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.41N.0W,g.500.42N.0W,g.500.41N.1E,g.500.42N.1E,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.41N.0W,g.700.42N.0W,g.700.41N.1E,g.700.42N.1E,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
0,1,23,93656.1,93364.13,93759.17,93503.61,93367.2,94265.13,92720.62,94050.76,57358.426,57188.727,57399.645,57254.703,57076.707,57668.65,56529.2,57665.703,31113.895,31007.193,31155.293,31050.559,30983.39,31295.525,30596.432,31227.115,-Inf,0
0,1,24,92948.02,92580,92985.95,92664.484,92575.016,94308.43,92912.39,93520.84,56719.91,56412.23,56767.29,56497.215,56375.695,57659.95,56722.99,57491.188,30628.309,30505.979,30692.473,30550.48,30487.246,31259.303,30773.715,31197.31,-Inf,0
0,1,25,91888.586,91109.05,91874.6,91113.07,91303.12,94014.55,93071.59,93994.05,55890.82,55646.31,55952.785,55678.293,55699.04,57438.055,56854.812,57534.15,30290.094,30208.955,30285.023,30211.854,30090.25,31174.127,30846.264,31092.99,-Inf,0
0,1,26,92496.47,92359.49,92108.52,91927.86,91406.38,94156.51,93169.875,93895.38,56513.14,56383.59,56394.832,56239.32,55704.793,57651.652,57223.79,57427.617,30614.129,30560.312,30571.387,30532.37,30108.568,31322.95,31186.857,30942.822,-Inf,0
0,1,27,92940.36,92797.44,92974.84,92835.95,92411.41,94068,93737.52,93860.9,56936.99,56828.984,56941.54,56826.04,56551.418,57698.76,57390.945,57573.227,30920.467,30924.297,30901.424,30917.984,30623.857,31399.535,31310.324,31147.943,-Inf,0
0,1,28,92704.91,92784.03,92611.99,92696.09,92455.086,94098.08,93378.5,93229.07,56793.52,56765.28,56746.812,56713.62,56311.59,57720.31,57141.348,57264.61,30901.012,30829.498,30855.992,30806.521,30460.03,31393.738,30952.24,31061.32,-Inf,0
0,1,29,92572.14,92644.56,92637.086,92683.64,92038.98,93810.13,92477.12,93881.59,56575.906,56538.97,56589.426,56522.375,55817.883,57410.35,56360.168,57234.363,30594.775,30517.053,30578.838,30504.531,29878.607,31097.854,30374.543,30833.844,-Inf,0
0,1,30,92862.195,92637.664,92856.83,92657.2,91967.33,94297.7,91079.164,93577.17,56600.133,56482.09,56640.15,56496.547,55815.605,57693.81,55417.32,57050.344,30485.385,30417.492,30510.43,30419.459,29850.25,31256.922,29785.566,30683.469,-Inf,0
0,1,31,92918.33,92687.86,93007.8,92790.35,91959.28,94724.35,90779.336,93281.375,56586.48,56424.41,56666.645,56498.418,55949.973,57991.85,55395.64,56713.62,30448.127,30383.65,30507.635,30437.88,30163.832,31367.865,29924.145,30478.14,-Inf,0
0,1,32,92350.484,91946.06,92481.52,92128.63,91607.16,94784.125,91380.13,93169.11,56204.523,56029.47,56309.45,56116.996,55763.277,57908.207,55813.734,56570.42,30256.977,30165.902,30296.924,30203.47,29949.396,31189.963,30130.922,30414.182,-Inf,0
0,1,33,91514.81,91256.76,91586.27,91279.36,90818.23,94679.91,92580.766,93353.41,55818.418,55716.703,55802.223,55695.426,55402.867,57670.12,56446.625,56898.176,30145.72,30089.525,30126.473,30066.963,29806.783,31005.021,30550.273,30690.713,-Inf,0
0,1,34,92825.8,92654.71,92786.71,92622.336,91926.33,94232.19,93108.76,93974.7,56756.445,56619.137,56722.855,56591.164,56030.676,57412.625,56627.164,57497.88,30716.586,30672.086,30681.502,30641.555,30250.248,30974.49,30606.781,31117.31,-Inf,0
0,1,35,93969.914,93818.375,93883.32,93713.96,92557.97,94038.88,93656.87,94553.84,57134.523,57038.297,57047.8,56962.01,56256.047,57473.79,57015.812,57811.047,30932.266,30837.363,30882.28,30803.314,30413.56,31017.543,30750.844,31282.277,-Inf,0
0,1,36,93581.77,93339.23,93657.25,93420.65,92879.25,94467.25,91889.734,94112.26,57056.633,56885.195,57092.633,56921.195,56467.234,57611.637,55880.918,57510.19,30809.316,30715.553,30822.355,30722.28,30365.332,31157.775,30073.793,31118.035,-Inf,0
0,1,37,92848.98,92621.95,92863.34,92651.46,92152.39,94536.414,91072.45,94086.39,56575.105,56335.145,56616.19,56382.117,56056.906,57713.348,55118.61,57362.84,30422.979,30307.998,30504.014,30362.746,30206.988,31242.02,29626.498,31009.264,-Inf,0
0,1,38,91617.88,91241.234,91639.34,91216.33,90657.305,94462.84,92437.84,94915.36,56117.934,55882.254,56114.723,55870.746,55245.75,57697.42,56125.027,57694.746,30260.08,30083.107,30232.861,30095.32,29712.398,31212.11,30232.654,30999.121,-Inf,0
0,1,39,93776.61,93503.03,93704.57,93375.055,91928.055,94873.59,93708.98,94801.56,56978.34,56793.52,56925.074,56716.832,55758.863,57838.08,56772.773,57705.05,30723.004,30588.463,30657.492,30559.174,29950.947,31166.262,30573.975,31035.965,-Inf,0
0,1,40,94377.78,94204.21,94403.266,94239.66,93470.27,95116.13,92757.21,94336.21,57460.406,57299.67,57462.95,57301.414,56623.688,58099.723,56109.5,57624.215,30994.465,30880.209,30976.664,30863.133,30418.941,31428.41,30196.123,31093.922,-Inf,0
0,1,41,93657.63,93271.6,93767.22,93387.125,92700.12,95002.72,90975.71,94781.06,57108.023,56880.375,57143.758,56920.523,56486.508,58193.54,55642.293,57980.344,30949.86,30818.838,30964.865,30848.54,30576.871,31656.611,30197.88,31367.14,-Inf,0
0,1,42,93710.32,93289.805,93670.664,93271.22,91891.266,94920.34,93091.71,94926.664,57250.29,56987.04,57229.543,56949.836,56088.758,58190.594,56801.01,58101.73,31070.842,30963.105,31041.863,30945.305,30474.104,31636.533,30883.52,31386.287,-Inf,0
0,1,43,94368.016,94157.47,94375.87,94169.34,93271.414,95220.93,92683.45,94866.51,57666.773,57510.324,57670.12,57516.613,57018.758,58306.625,56484.633,58053.28,31231.463,31142.459,31212.938,31127.246,30882.486,31643.984,30513.018,31457.49,-Inf,0
