Ix,t,l,g.300.42N.3W,g.300.43N.3W,g.300.42N.2W,g.300.43N.2W,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.42N.3W,g.500.43N.3W,g.500.42N.2W,g.500.43N.2W,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.42N.3W,g.700.43N.3W,g.700.42N.2W,g.700.43N.2W,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
0,1,1,92274.62,92295.695,92286.12,92289.76,91813.68,93298.62,92628.27,91646.234,56470.715,56510.465,56512.203,56513.543,56356.555,57106.953,56763.94,56210.547,30698.27,30745.771,30733.043,30763.572,30787.064,30986.807,30854.543,30361.09,-Inf,0
0,1,2,92434.4,92389.375,92460.26,92404.32,91689.34,93210.875,92580.38,91771.336,56639.477,56662.23,56648.71,56656.473,56298.07,57040.04,56758.32,55972.457,30768.127,30764.193,30771.748,30772.37,30708.41,30950.791,30798.242,30154.621,-Inf,0
0,1,3,92025.18,91982.266,92017.71,91973.836,91542.21,92331.33,92041.66,91700.266,56304.363,56320.42,56294.86,56305.566,56103.08,56641.35,56368.332,56000.562,30499.666,30491.904,30492.94,30490.455,30560.934,30679.64,30497.7,30215.889,-Inf,0
0,1,4,91947.78,91851.805,91916.75,91811.19,91657.734,92333.82,91421.32,92260.25,56091.57,56066.008,56097.324,56072.965,56103.21,56604.28,55778.535,56328.453,30371.232,30338.217,30368.955,30343.496,30455.475,30765.021,30113.225,30392.24,-Inf,0
0,1,5,92038.21,91921.73,92117.336,92031.31,91884.18,92488.234,90414.19,92157.18,56108.43,56012.875,56147.11,56066.406,56183.11,56465.363,55150.727,56328.72,30276.95,30205.438,30325.488,30282.229,30469.447,30464.479,29732.682,30541.684,-Inf,0
0,1,6,91725.74,91677.27,91892.8,91831.305,92433.82,92741.31,90450.78,92245.69,56159.42,56082.87,56188.863,56116.863,56436.59,56720.848,55364.59,56576.44,30561.244,30509.498,30552.965,30514.775,30614.232,30720.002,30052.992,30726.521,-Inf,0
0,1,7,91937.44,91921.34,92006.02,91987.44,92408.914,92505.86,91918.86,92138.41,56273.18,56276.66,56264.21,56285.223,56534.418,56638.14,56269.43,56447.16,30620.027,30645.59,30600.78,30619.305,30736.354,30686.367,30610.61,30632.344,-Inf,0
0,1,8,92374.24,92310.83,92380.375,92345.89,92404.32,92804.336,92515.24,91589.336,56367.664,56340.363,56373.418,56338.355,56404.47,56749.89,56248.957,56175.348,30505.047,30430.016,30498.838,30449.576,30545.307,30642.59,30309.344,30510.12,-Inf,0
0,1,9,92384.016,92286.12,92353.55,92238.03,91993,93050.13,92697.625,92458.54,56317.344,56246.145,56293.52,56215.094,56077.516,56981.285,56297.805,56425.883,30451.44,30335.734,30446.057,30338.217,30316.38,30803.107,30227.998,30479.795,-Inf,0
0,1,10,93425.25,93277.734,93346.89,93175.81,91281.85,94025.28,93459.734,92912.39,56862.176,56705.992,56838.22,56654.47,55681.906,57672.527,56870.473,56787.766,30704.479,30567.04,30664.219,30532.783,30095.527,31316.016,30639.484,30739.562,-Inf,0
0,1,11,93710.32,93624.875,93673.73,93581.77,93308.766,93809.37,93550.734,93158.76,57292.312,57196.49,57244.8,57141.484,56840.492,57690.46,57255.24,57080.59,31145.564,31089.367,31120.621,31055.318,30607.816,31461.32,31195.861,31132.627,-Inf,0
0,1,12,93414.14,93385.59,93353.6,93330.03,93123.51,93310.49,92669.086,93755.53,57125.824,57054.09,57101.332,57047.53,56781.742,57279.062,56409.82,57273.04,30933.3,30877.828,30920.57,30877.828,30732.111,31207.867,30544.79,31141.32,-Inf,0
0,1,13,92325.01,92015.984,92375.39,92074.99,92208.91,92847.445,91566.35,93435.98,56251.766,56056.773,56291.38,56096.117,56138.008,56750.29,55561.594,57159.55,30373.922,30237.209,30368.438,30263.703,30294.44,30778.475,30010.975,30931.23,-Inf,0
0,1,14,92414.664,92278.64,92367.16,92239.75,91827.28,93090.75,92290.14,93833.695,56168.254,56031.477,56179.766,56048.207,55929.496,56874.22,55951.715,57155.8,30379.201,30303.754,30405.178,30323.729,30240.418,30809.42,30043.988,30880.416,-Inf,0
0,1,15,93686.56,93637.14,93585.02,93555.52,92685.56,93439.62,93908.99,94717.65,57209.336,57156.336,57146.566,57095.58,56631.582,57273.977,57339.82,57838.48,31092.059,31019.51,31061.734,31007.297,30668.773,31251.23,31162.537,31365.28,-Inf,0
0,1,16,94516.3,94504.42,94442.92,94436.41,93543.836,93636.37,94517.445,95061.34,57900.18,57900.71,57840.758,57837.68,57210.94,57276.652,57875.152,58060.508,31589.857,31592.652,31549.6,31555.602,31186.65,31262.2,31665.201,31339.406,-Inf,0
0,1,17,94624.16,94597.72,94631.625,94610.555,94147.125,93413.18,93841.17,94769.18,57966.29,57968.832,57938.586,57940.33,57633.582,57202.11,57504.57,57965.62,31538.111,31551.152,31525.383,31542.871,31418.682,31101.373,31334.645,31333.195,-Inf,0
0,1,18,94471.66,94476.83,94461.695,94472.234,94312.266,93318.34,94335.26,94827.234,57921.86,57899.105,57932.965,57921.188,57884.92,57190.867,57631.977,58191.4,31561.914,31538.836,31552.6,31548.875,31563.674,31121.863,31382.355,31492.16,-Inf,0
0,1,19,94476.83,94460.36,94430.85,94413.805,93421.8,93570.47,94257.47,94888.34,57833.797,57787.355,57782.805,57733.555,57411.156,57371.406,57822.152,58311.043,31609.729,31586.754,31584.684,31562.225,31332.266,31162.02,31506.443,31704.734,-Inf,0
0,1,20,94301.73,94238.125,94258.625,94201.15,93731.2,93779.09,94039.266,95012.68,57861.234,57808.77,57809.977,57761.258,57211.21,57411.29,57591.023,58280.527,31581.578,31512.86,31519.068,31475.395,30969.834,31247.918,31348.1,31658.162,-Inf,0
0,1,21,94331.234,94289.85,94298.28,94277.4,93643.266,94004.4,93272.75,94624.734,57720.44,57688.453,57667.445,57647.637,57150.984,57543.113,56960.676,57996.67,31269.549,31219.768,31219.354,31188.514,30808.074,31159.95,30879.795,31375.215,-Inf,0
0,1,22,93864.16,93688.48,93946.54,93803.05,93831.016,93849.984,90985.48,94436.984,57448.492,57328.848,57500.02,57408.746,57312.52,57531.07,55758.996,57832.86,31113.895,30986.393,31139.871,31060.906,31013.404,31272.86,30256.873,31262.406,-Inf,0
0,1,23,93235.2,92882.12,93235.2,92919.67,93367.2,94265.13,92720.62,94050.76,57046.996,56775.184,57093.438,56825.637,57076.707,57668.65,56529.2,57665.703,30847.61,30676.328,30865.41,30727.867,30983.39,31295.525,30596.432,31227.115,-Inf,0
0,1,24,92409.49,91638.38,92412.37,91730.914,92575.016,94308.43,92912.39,93520.84,56296.465,55915.98,56301.418,55927.49,56375.695,57659.95,56722.99,57491.188,30476.484,30330.041,30475.967,30352.5,30487.246,31259.303,30773.715,31197.31,-Inf,0
0,1,25,91647.58,90909.99,91394.12,90773.016,91303.12,94014.55,93071.59,93994.05,55738.387,55578.055,55704.125,55534.83,55699.04,57438.055,56854.812,57534.15,30334.078,30248.904,30253.975,30179.873,30090.25,31174.127,30846.264,31092.99,-Inf,0
0,1,26,92982.51,92907.02,92860.47,92789.97,91406.38,94156.51,93169.875,93895.38,56718.17,56628.637,56622.883,56534.418,55704.793,57651.652,57223.79,57427.617,30690.713,30663.701,30647.35,30615.889,30108.568,31322.95,31186.857,30942.822,-Inf,0
0,1,27,92652.99,92618.89,92690.35,92623.484,92411.41,94068,93737.52,93860.9,56846.516,56811.72,56834.74,56790.44,56551.418,57698.76,57390.945,57573.227,30970.145,31006.574,30947.79,30976.043,30623.857,31399.535,31310.324,31147.943,-Inf,0
0,1,28,93015.08,93086.54,92955.49,93026,92455.086,94098.08,93378.5,93229.07,56919.055,56917.047,56874.35,56868.867,56311.59,57720.31,57141.348,57264.61,30902.045,30852.783,30875.758,30831.773,30460.03,31393.738,30952.24,31061.32,-Inf,0
0,1,29,92719.66,92757.016,92677.516,92738.055,92038.98,93810.13,92477.12,93881.59,56583.938,56544.457,56572.43,56519.164,55817.883,57410.35,56360.168,57234.363,30590.016,30511.05,30561.762,30478.555,29878.607,31097.854,30374.543,30833.844,-Inf,0
0,1,30,92416.77,92242.24,92534.21,92356.805,91967.33,94297.7,91079.164,93577.17,56318.15,56208.805,56388.543,56280.81,55815.605,57693.81,55417.32,57050.344,30284.816,30205.23,30335.734,30262.047,29850.25,31256.922,29785.566,30683.469,-Inf,0
0,1,31,92270.79,92061.77,92438.805,92211.4,91959.28,94724.35,90779.336,93281.375,56133.19,55983.7,56232.227,56086.883,55949.973,57991.85,55395.64,56713.62,30207.402,30105.152,30252.629,30171.594,30163.832,31367.865,29924.145,30478.14,-Inf,0
0,1,32,91455.04,91130.5,91569.99,91255.61,91607.16,94784.125,91380.13,93169.11,55789.242,55621.28,55824.04,55688.465,55763.277,57908.207,55813.734,56570.42,30089.215,30010.664,30096.459,30027.947,29949.396,31189.963,30130.922,30414.182,-Inf,0
0,1,33,91534.734,91557.34,91400.82,91407.72,90818.23,94679.91,92580.766,93353.41,55895.37,55890.418,55825.91,55803.695,55402.867,57670.12,56446.625,56898.176,30257.494,30233.69,30196.537,30174.7,29806.783,31005.021,30550.273,30690.713,-Inf,0
