Ix,t,l,g.300.38N.7W,g.300.39N.7W,g.300.38N.6W,g.300.39N.6W,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.38N.7W,g.500.39N.7W,g.500.38N.6W,g.500.39N.6W,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.38N.7W,g.700.39N.7W,g.700.38N.6W,g.700.39N.6W,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
1,1,1,91959.664,91947.21,92123.66,92082.66,91813.68,93298.62,92628.27,91646.234,56232.76,56197.027,56332.2,56298.207,56356.555,57106.953,56763.94,56210.547,30404.557,30392.344,30462.098,30464.79,30787.064,30986.807,30854.543,30361.09,-Inf,0
1,1,2,92131.89,92278.836,92157.76,92307.766,91689.34,93210.875,92580.38,91771.336,56326.043,56407.812,56370.207,56436.055,56298.07,57040.04,56758.32,55972.457,30461.89,30538.477,30500.494,30579.045,30708.41,30950.791,30798.242,30154.621,-Inf,1
1,1,3,91912.73,92028.82,91905.83,92018.29,91542.21,92331.33,92041.66,91700.266,56120.344,56177.355,56115.39,56164.64,56103.08,56641.35,56368.332,56000.562,30331.18,30393.896,30338.424,30404.453,30560.934,30679.64,30497.7,30215.889,-Inf,1
1,1,4,92117.72,92081.695,92116.76,92092.81,91657.734,92333.82,91421.32,92260.25,56165.31,56134.527,56174.812,56154.203,56103.21,56604.28,55778.535,56328.453,30307.998,30288.748,30310.482,30288.748,30455.475,30765.021,30113.225,30392.24,-Inf,1
1,1,5,91942.805,91857.164,92021.734,91951.234,91884.18,92488.234,90414.19,92157.18,56200.64,56125.43,56243.734,56173.61,56183.11,56465.363,55150.727,56328.72,30431.258,30369.266,30439.02,30385.514,30469.447,30464.479,29732.682,30541.684,-Inf,1
1,1,6,91630.336,91576.695,91647.77,91604.28,92433.82,92741.31,90450.78,92245.69,56267.156,56245.207,56242.13,56237.18,56436.59,56720.848,55364.59,56576.44,30572.732,30554.725,30577.285,30567.764,30614.232,30720.002,30052.992,30726.521,-Inf,1
1,1,7,91684.94,91619.414,91766.36,91709.46,92408.914,92505.86,91918.86,92138.41,56375.695,56350.934,56368.47,56341.164,56534.418,56638.14,56269.43,56447.16,30679.33,30699.613,30680.055,30693.3,30736.354,30686.367,30610.61,30632.344,-Inf,1
1,1,8,91867.32,92107.37,91864.83,92104.88,92404.32,92804.336,92515.24,91589.336,56355.35,56367.934,56326.176,56324.973,56404.47,56749.89,56248.957,56175.348,30646.832,30642.797,30599.848,30592.086,30545.307,30642.59,30309.344,30510.12,-Inf,1
1,1,9,92571.57,92634.6,92526.55,92572.14,91993,93050.13,92697.625,92458.54,56513.273,56514.08,56498.285,56498.82,56077.516,56981.285,56297.805,56425.883,30541.684,30554.414,30532.162,30538.27,30316.38,30803.107,30227.998,30479.795,-Inf,1
1,1,10,93493.836,93645.375,93473.336,93614.336,91281.85,94025.28,93459.734,92912.39,57080.453,57122.746,57091.695,57119.535,55681.906,57672.527,56870.473,56787.766,30893.559,30875.758,30911.773,30889.006,30095.527,31316.016,30639.484,30739.562,-Inf,1
