Ix,t,l,g.300.40N.0W,g.300.41N.0W,g.300.40N.1E,g.300.41N.1E,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.40N.0W,g.500.41N.0W,g.500.40N.1E,g.500.41N.1E,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.40N.0W,g.700.41N.0W,g.700.40N.1E,g.700.41N.1E,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
0,1,1,92616.2,92478.66,92668.7,92522.72,91813.68,93298.62,92628.27,91646.234,56651.79,56588.49,56684.715,56603.477,56356.555,57106.953,56763.94,56210.547,30795.758,30783.857,30820.08,30801.348,30787.064,30986.807,30854.543,30361.09,-Inf,0
0,1,2,92636.32,92582.3,92670.234,92585.36,91689.34,93210.875,92580.38,91771.336,56713.22,56686.72,56731.555,56688.33,56298.07,57040.04,56758.32,55972.457,30804.555,30795.861,30824.012,30799.484,30708.41,30950.791,30798.242,30154.621,-Inf,0
0,1,3,92092.81,92078.83,92116.76,92081.695,91542.21,92331.33,92041.66,91700.266,56243.87,56270.367,56261.133,56270.1,56103.08,56641.35,56368.332,56000.562,30444.4,30489.627,30466.445,30489.938,30560.934,30679.64,30497.7,30215.889,-Inf,0
0,1,4,91979.78,91939.164,91969.81,91914.836,91657.734,92333.82,91421.32,92260.25,56159.957,56134.527,56177.223,56147.51,56103.21,56604.28,55778.535,56328.453,30420.701,30409.42,30445.229,30419.252,30455.475,30765.021,30113.225,30392.24,-Inf,0
0,1,5,92280.75,92273.664,92299.336,92303.74,91884.18,92488.234,90414.19,92157.18,56293.92,56271.973,56314.668,56295.13,56183.11,56465.363,55150.727,56328.72,30452.266,30440.986,30493.25,30480.52,30469.447,30464.479,29732.682,30541.684,-Inf,0
0,1,6,92227.3,92220.21,92331.71,92294.734,92433.82,92741.31,90450.78,92245.69,56359.098,56334.61,56383.86,56357.36,56436.59,56720.848,55364.59,56576.44,30550.998,30551.516,30546.756,30543.236,30614.232,30720.002,30052.992,30726.521,-Inf,0
0,1,7,92140.9,92198.945,92216.95,92252.016,92408.914,92505.86,91918.86,92138.41,56240.258,56289.64,56270.504,56324.438,56534.418,56638.14,56269.43,56447.16,30505.771,30554.31,30476.277,30536.096,30736.354,30686.367,30610.61,30632.344,-Inf,0
0,1,8,92266.766,92351.25,92227.875,92333.82,92404.32,92804.336,92515.24,91589.336,56294.457,56325.105,56286.695,56316.94,56404.47,56749.89,56248.957,56175.348,30450.094,30482.797,30414.285,30463.03,30545.307,30642.59,30309.344,30510.12,-Inf,0
0,1,9,92365.62,92339.56,92355.086,92309.1,91993,93050.13,92697.625,92458.54,56491.594,56433.11,56500.293,56439.8,56077.516,56981.285,56297.805,56425.883,30508.773,30512.293,30498.734,30495.01,30316.38,30803.107,30227.998,30479.795,-Inf,0
0,1,10,93465.87,93369.305,93425.25,93308.38,91281.85,94025.28,93459.734,92912.39,57062.523,56926.414,57063.457,56916.242,55681.906,57672.527,56870.473,56787.766,30865.512,30780.752,30865.512,30756.535,30095.527,31316.016,30639.484,30739.562,-Inf,0
0,1,11,93617.79,93623.73,93583.305,93575.26,93308.766,93809.37,93550.734,93158.76,57325.77,57249.22,57304.492,57217.766,56840.492,57690.46,57255.24,57080.59,31252.367,31176.094,31236.533,31121.346,30607.816,31461.32,31195.861,31132.627,-Inf,0
0,1,12,93201.1,93216.62,93170.06,93168.15,93123.51,93310.49,92669.086,93755.53,57018.355,57025.047,56984.094,56971.516,56781.742,57279.062,56409.82,57273.04,30978.838,30933.611,30959.38,30889.627,30732.111,31207.867,30544.79,31141.32,-Inf,0
0,1,13,92755.484,92634.41,92784.03,92665.445,92208.91,92847.445,91566.35,93435.98,56610.035,56499.086,56609.766,56513.543,56138.008,56750.29,55561.594,57159.55,30594.154,30527.713,30616.717,30544.479,30294.44,30778.475,30010.975,30931.23,-Inf,0
0,1,14,92483.63,92392.25,92457.77,92365.62,91827.28,93090.75,92290.14,93833.695,56453.72,56326.445,56494.805,56368.2,55929.496,56874.22,55951.715,57155.8,30536.717,30493.975,30561.762,30508.67,30240.418,30809.42,30043.988,30880.416,-Inf,0
0,1,15,93444.6,93419.5,93347.086,93335.98,92685.56,93439.62,93908.99,94717.65,57104.812,57086.344,57061.72,57048.336,56631.582,57273.977,57339.82,57838.48,31098.06,31075.293,31087.504,31043.727,30668.773,31251.23,31162.537,31365.28,-Inf,0
