Ix,t,l,g.300.43N.4W,g.300.44N.4W,g.300.43N.3W,g.300.44N.3W,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.43N.4W,g.500.44N.4W,g.500.43N.3W,g.500.44N.3W,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.43N.4W,g.700.44N.4W,g.700.43N.3W,g.700.44N.3W,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
0,1,1,92297.61,92316.766,92295.695,92287.266,91813.68,93298.62,92628.27,91646.234,56501.766,56574.3,56510.465,56558.777,56356.555,57106.953,56763.94,56210.547,30727.557,30789.342,30745.771,30794.518,30787.064,30986.807,30854.543,30361.09,-Inf,0
0,1,2,92383.24,92416.77,92389.375,92408.73,91689.34,93210.875,92580.38,91771.336,56657.547,56715.76,56662.23,56704.52,56298.07,57040.04,56758.32,55972.457,30760.363,30793.896,30764.193,30794.414,30708.41,30950.791,30798.242,30154.621,-Inf,0
0,1,3,91993.19,92007.17,91982.266,91996.25,91542.21,92331.33,92041.66,91700.266,56332.066,56358.832,56320.42,56340.63,56103.08,56641.35,56368.332,56000.562,30504.635,30483.21,30491.904,30481.14,30560.934,30679.64,30497.7,30215.889,-Inf,0
0,1,4,91884.18,91795.67,91851.805,91757.164,91657.734,92333.82,91421.32,92260.25,56053.293,56037.234,56066.008,56051.953,56103.21,56604.28,55778.535,56328.453,30318.762,30289.266,30338.217,30325.488,30455.475,30765.021,30113.225,30392.24,-Inf,0
0,1,5,91777.28,91672.67,91921.73,91811.19,91884.18,92488.234,90414.19,92157.18,55960.68,55871.95,56012.875,55951.445,56183.11,56465.363,55150.727,56328.72,30154,30092.422,30205.438,30156.691,30469.447,30464.479,29732.682,30541.684,-Inf,0
0,1,6,91511.75,91419.79,91677.27,91601.79,92433.82,92741.31,90450.78,92245.69,56043.926,55937.395,56082.87,55988.383,56436.59,56720.848,55364.59,56576.44,30494.492,30418.01,30509.498,30454.957,30614.232,30720.002,30052.992,30726.521,-Inf,0
0,1,7,91834.945,91774.98,91921.34,91856.016,92408.914,92505.86,91918.86,92138.41,56274.652,56265.953,56276.66,56275.453,56534.418,56638.14,56269.43,56447.16,30661.115,30663.082,30645.59,30645.59,30736.354,30686.367,30610.61,30632.344,-Inf,0
0,1,8,92307.766,92287.266,92310.83,92252.78,92404.32,92804.336,92515.24,91589.336,56342.637,56265.418,56340.363,56270.637,56404.47,56749.89,56248.957,56175.348,30437.57,30371.336,30430.016,30366.574,30545.307,30642.59,30309.344,30510.12,-Inf,0
0,1,9,92361.98,92226.15,92286.12,92151.625,91993,93050.13,92697.625,92458.54,56286.293,56170.13,56246.145,56143.63,56077.516,56981.285,56297.805,56425.883,30330.248,30213.303,30335.734,30217.545,30316.38,30803.107,30227.998,30479.795,-Inf,0
0,1,10,93368.35,93171.41,93277.734,93054.734,91281.85,94025.28,93459.734,92912.39,56755.242,56595.445,56705.992,56516.22,55681.906,57672.527,56870.473,56787.766,30598.812,30463.96,30567.04,30425.463,30095.527,31316.016,30639.484,30739.562,-Inf,0
0,1,11,93667.41,93557.82,93624.875,93507.24,93308.766,93809.37,93550.734,93158.76,57256.71,57177.215,57196.49,57120.74,56840.492,57690.46,57255.24,57080.59,31124.037,31110.066,31089.367,31072.084,30607.816,31461.32,31195.861,31132.627,-Inf,0
0,1,12,93430.62,93330.61,93385.59,93317.58,93123.51,93310.49,92669.086,93755.53,57058.508,56945.285,57054.09,56954.785,56781.742,57279.062,56409.82,57273.04,30874.621,30815.836,30877.828,30825.357,30732.111,31207.867,30544.79,31141.32,-Inf,0
0,1,13,91981.5,91631.87,92015.984,91655.43,92208.91,92847.445,91566.35,93435.98,56026.527,55755.383,56056.773,55793.12,56138.008,56750.29,55561.594,57159.55,30224.686,30083.729,30237.209,30109.188,30294.44,30778.475,30010.975,30931.23,-Inf,0
0,1,14,92330.18,92132.66,92278.64,92088.21,91827.28,93090.75,92290.14,93833.695,56029.74,55868.07,56031.477,55860.44,55929.496,56874.22,55951.715,57155.8,30292.268,30216.2,30303.754,30231.518,30240.418,30809.42,30043.988,30880.416,-Inf,0
0,1,15,93724.5,93649.586,93637.14,93572,92685.56,93439.62,93908.99,94717.65,57212.816,57148.844,57156.336,57092.23,56631.582,57273.977,57339.82,57838.48,31056.56,30987.738,31019.51,30942.822,30668.773,31251.23,31162.537,31365.28,-Inf,0
0,1,16,94569.37,94565.34,94504.42,94504.805,93543.836,93636.37,94517.445,95061.34,57945.01,57924.133,57900.71,57882.242,57210.94,57276.652,57875.152,58060.508,31621.424,31628.15,31592.652,31592.445,31186.65,31262.2,31665.201,31339.406,-Inf,0
0,1,17,94582.2,94550.59,94597.72,94576.07,94147.125,93413.18,93841.17,94769.18,57975.258,57985.297,57968.832,57983.02,57633.582,57202.11,57504.57,57965.62,31559.639,31579.404,31551.152,31571.125,31418.682,31101.373,31334.645,31333.195,-Inf,0
0,1,18,94482.195,94430.28,94476.83,94432.766,94312.266,93318.34,94335.26,94827.234,57873.68,57807.164,57899.105,57853.87,57884.92,57190.867,57631.977,58191.4,31546.908,31496.922,31538.836,31507.89,31563.674,31121.863,31382.355,31492.16,-Inf,0
0,1,19,94499.44,94474.34,94460.36,94437.94,93421.8,93570.47,94257.47,94888.34,57832.324,57794.85,57787.355,57742.12,57411.156,57371.406,57822.152,58311.043,31602.484,31567.71,31586.754,31549.703,31332.266,31162.02,31506.443,31704.734,-Inf,0
1,1,20,94260.16,94189.27,94238.125,94181.61,93731.2,93779.09,94039.266,95012.68,57845.305,57794.047,57808.77,57764.07,57211.21,57411.29,57591.023,58280.527,31551.36,31492.885,31512.86,31478.604,30969.834,31247.918,31348.1,31658.162,-Inf,0
1,1,21,94270.31,94199.234,94289.85,94241.766,93643.266,94004.4,93272.75,94624.734,57701.973,57651.652,57688.453,57652.723,57150.984,57543.113,56960.676,57996.67,31231.152,31196.275,31219.768,31189.86,30808.074,31159.95,30879.795,31375.215,-Inf,1
0,1,22,93562.99,93329.08,93688.48,93503.61,93831.016,93849.984,90985.48,94436.984,57216.027,57057.836,57328.848,57198.76,57312.52,57531.07,55758.996,57832.86,30895.111,30815.422,30986.393,30907.635,31013.404,31272.86,30256.873,31262.406,-Inf,1
0,1,23,92883.266,92338.23,92882.12,92343.2,93367.2,94265.13,92720.62,94050.76,56761.133,56363.918,56775.184,56396.17,57076.707,57668.65,56529.2,57665.703,30655.836,30504.324,30676.328,30526.781,30983.39,31295.525,30596.432,31227.115,-Inf,0
0,1,24,91668.46,90955.98,91638.38,90919.96,92575.016,94308.43,92912.39,93520.84,55975.668,55750.43,55915.98,55724.734,56375.695,57659.95,56722.99,57491.188,30349.809,30247.248,30330.041,30231.31,30487.246,31259.303,30773.715,31197.31,-Inf,0
0,1,25,91233,90905.016,90909.99,90752.516,91303.12,94014.55,93071.59,93994.05,55654.34,55617.402,55578.055,55544.598,55699.04,57438.055,56854.812,57534.15,30318.244,30269.291,30248.904,30186.602,30090.25,31174.127,30846.264,31092.99,-Inf,0
0,1,26,92974.84,92951.85,92907.02,92852.42,91406.38,94156.51,93169.875,93895.38,56731.82,56709.34,56628.637,56625.56,55704.793,57651.652,57223.79,57427.617,30723.004,30714,30663.701,30651.283,30108.568,31322.95,31186.857,30942.822,-Inf,0
0,1,27,92673.49,92796.484,92618.89,92707.016,92411.41,94068,93737.52,93860.9,56858.027,56929.227,56811.72,56885.46,56551.418,57698.76,57390.945,57573.227,31033.688,31074.361,31006.574,31054.387,30623.857,31399.535,31310.324,31147.943,-Inf,0
0,1,28,93136.54,93220.45,93086.54,93167,92455.086,94098.08,93378.5,93229.07,56960.81,56942.875,56917.047,56892.555,56311.59,57720.31,57141.348,57264.61,30873.068,30861.477,30852.783,30835.5,30460.03,31393.738,30952.24,31061.32,-Inf,0
0,1,29,92784.61,92793.99,92757.016,92765.06,92038.98,93810.13,92477.12,93881.59,56556.1,56517.69,56544.457,56492.395,55817.883,57410.35,56360.168,57234.363,30535.06,30454.025,30511.05,30433.535,29878.607,31097.854,30374.543,30833.844,-Inf,0
