Ix,t,l,g.300.37N.7W,g.300.38N.7W,g.300.37N.6W,g.300.38N.6W,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.37N.7W,g.500.38N.7W,g.500.37N.6W,g.500.38N.6W,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.37N.7W,g.700.38N.7W,g.700.37N.6W,g.700.38N.6W,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
0,1,1,91989.74,91959.664,92171.164,92123.66,91813.68,93298.62,92628.27,91646.234,56284.555,56232.76,56374.758,56332.2,56356.555,57106.953,56763.94,56210.547,30411.283,30404.557,30471.516,30462.098,30787.064,30986.807,30854.543,30361.09,-Inf,0
0,1,2,91980.734,92131.89,91987.25,92157.76,91689.34,93210.875,92580.38,91771.336,56213.223,56326.043,56268.227,56370.207,56298.07,57040.04,56758.32,55972.457,30337.494,30461.89,30392.24,30500.494,30708.41,30950.791,30798.242,30154.621,-Inf,0
0,1,3,91796.82,91912.73,91782.836,91905.83,91542.21,92331.33,92041.66,91700.266,56029.07,56120.344,56029.336,56115.39,56103.08,56641.35,56368.332,56000.562,30271.465,30331.18,30273.95,30338.424,30560.934,30679.64,30497.7,30215.889,-Inf,0
0,1,4,92119.25,92117.72,92113.695,92116.76,91657.734,92333.82,91421.32,92260.25,56197.297,56165.31,56179.227,56174.812,56103.21,56604.28,55778.535,56328.453,30334.182,30307.998,30329.73,30310.482,30455.475,30765.021,30113.225,30392.24,-Inf,0
0,1,5,92033.805,91942.805,92102.77,92021.734,91884.18,92488.234,90414.19,92157.18,56274.383,56200.64,56316.14,56243.734,56183.11,56465.363,55150.727,56328.72,30474.725,30431.258,30480.934,30439.02,30469.447,30464.479,29732.682,30541.684,-Inf,0
0,1,6,91680.72,91630.336,91687.81,91647.77,92433.82,92741.31,90450.78,92245.69,56289.105,56267.156,56256.582,56242.13,56436.59,56720.848,55364.59,56576.44,30591.465,30572.732,30579.77,30577.285,30614.232,30720.002,30052.992,30726.521,-Inf,0
0,1,7,91785.516,91684.94,91849.5,91766.36,92408.914,92505.86,91918.86,92138.41,56408.215,56375.695,56408.215,56368.47,56534.418,56638.14,56269.43,56447.16,30654.285,30679.33,30663.805,30680.055,30736.354,30686.367,30610.61,30632.344,-Inf,0
0,1,8,91743.75,91867.32,91770.766,91864.83,92404.32,92804.336,92515.24,91589.336,56312.926,56355.35,56296.867,56326.176,56404.47,56749.89,56248.957,56175.348,30608.852,30646.832,30577.803,30599.848,30545.307,30642.59,30309.344,30510.12,-Inf,0
0,1,9,92511.984,92571.57,92520.99,92526.55,91993,93050.13,92697.625,92458.54,56471.117,56513.273,56470.582,56498.285,56077.516,56981.285,56297.805,56425.883,30513.844,30541.684,30510.844,30532.162,30316.38,30803.107,30227.998,30479.795,-Inf,0
0,1,10,93268.34,93493.836,93246.31,93473.336,91281.85,94025.28,93459.734,92912.39,56992.258,57080.453,57007.516,57091.695,55681.906,57672.527,56870.473,56787.766,30861.27,30893.559,30895.732,30911.773,30095.527,31316.016,30639.484,30739.562,-Inf,0
0,1,11,93351.875,93592.305,93292.87,93551.88,93308.766,93809.37,93550.734,93158.76,57203.582,57326.84,57198.227,57320.016,56840.492,57690.46,57255.24,57080.59,31271.617,31315.809,31281.863,31327.297,30607.816,31461.32,31195.861,31132.627,-Inf,0
0,1,12,93434.64,93512.03,93317.58,93420.08,93123.51,93310.49,92669.086,93755.53,57171.06,57235.836,57106.55,57173.066,56781.742,57279.062,56409.82,57273.04,31139.56,31165.848,31114.62,31148.357,30732.111,31207.867,30544.79,31141.32,-Inf,0
0,1,13,93162.016,93037.875,93130.02,93016.99,92208.91,92847.445,91566.35,93435.98,56956.527,56834.07,56940.066,56828.047,56138.008,56750.29,55561.594,57159.55,30778.682,30702.201,30777.957,30690.195,30294.44,30778.475,30010.975,30931.23,-Inf,0
0,1,14,93282.71,93201.67,93155.695,93047.266,91827.28,93090.75,92290.14,93833.695,56818.812,56697.293,56785.49,56665.977,55929.496,56874.22,55951.715,57155.8,30660.184,30566.73,30643.004,30558.242,30240.418,30809.42,30043.988,30880.416,-Inf,0
0,1,15,94268.01,94242.53,94172.984,94159.58,92685.56,93439.62,93908.99,94717.65,57608.29,57591.023,57540.57,57523.84,56631.582,57273.977,57339.82,57838.48,31249.988,31258.268,31204.555,31207.04,30668.773,31251.23,31162.537,31365.28,-Inf,0
0,1,16,94837.96,94823.78,94782.4,94781.83,93543.836,93636.37,94517.445,95061.34,57979.004,57977.4,57948.89,57954.246,57210.94,57276.652,57875.152,58060.508,31416.611,31477.361,31425.615,31481.191,31186.65,31262.2,31665.201,31339.406,-Inf,0
