Ix,t,l,g.300.41N.2E,g.300.42N.2E,g.300.41N.3E,g.300.42N.3E,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.41N.2E,g.500.42N.2E,g.500.41N.3E,g.500.42N.3E,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.41N.2E,g.700.42N.2E,g.700.41N.3E,g.700.42N.3E,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
1,1,23,93835.234,93626.6,93924.695,93716.64,93367.2,94265.13,92720.62,94050.76,57441.133,57313.457,57469.64,57356.15,57076.707,57668.65,56529.2,57665.703,31178.785,31084.814,31198.346,31125.072,30983.39,31295.525,30596.432,31227.115,-Inf,1
1,1,24,93052.44,92769.85,93154.35,92897.445,92575.016,94308.43,92912.39,93520.84,56837.414,56588.22,56905.535,56684.043,56375.695,57659.95,56722.99,57491.188,30750.016,30611.023,30794.725,30651.283,30487.246,31259.303,30773.715,31197.31,-Inf,1
1,1,25,91838.01,91207.13,91966.56,91222.08,91303.12,94014.55,93071.59,93994.05,56025.855,55725.54,56126.9,55815.34,55699.04,57438.055,56854.812,57534.15,30325.902,30225.514,30350.223,30251.283,30090.25,31174.127,30846.264,31092.99,-Inf,1
1,1,26,91786.86,91598.53,91605.43,91413.85,91406.38,94156.51,93169.875,93895.38,56298.875,56135.332,56198.098,56058.38,55704.793,57651.652,57223.79,57427.617,30542.408,30499.355,30516.95,30438.398,30108.568,31322.95,31186.857,30942.822,-Inf,1
1,1,27,93001.48,92858.94,93013.93,92862.39,92411.41,94068,93737.52,93860.9,56939.664,56825.24,56926.68,56808.777,56551.418,57698.76,57390.945,57573.227,30892.834,30902.459,30876.482,30849.574,30623.857,31399.535,31310.324,31147.943,-Inf,1
1,1,28,92549.54,92621.57,92507.01,92579.42,92455.086,94098.08,93378.5,93229.07,56710.273,56672.535,56676.016,56621.008,56311.59,57720.31,57141.348,57264.61,30821.734,30775.268,30793.275,30724.04,30460.03,31393.738,30952.24,31061.32,-Inf,1
1,1,29,92754.53,92746.484,92862.58,92795.52,92038.98,93810.13,92477.12,93881.59,56600.133,56504.844,56615.656,56499.625,55817.883,57410.35,56360.168,57234.363,30581.012,30484.35,30567.764,30409.834,29878.607,31097.854,30374.543,30833.844,-Inf,1
1,1,30,92857.21,92668.32,92852.805,92668.32,91967.33,94297.7,91079.164,93577.17,56640.28,56500.56,56646.305,56488.65,55815.605,57693.81,55417.32,57050.344,30522.848,30402.59,30514.672,30397.623,29850.25,31256.922,29785.566,30683.469,-Inf,1
1,1,31,93115.27,92898.79,93222.75,92963.35,91959.28,94724.35,90779.336,93281.375,56737.71,56560.918,56805.965,56625.156,55949.973,57991.85,55395.64,56713.62,30564.143,30463.857,30611.334,30490.145,30163.832,31367.865,29924.145,30478.14,-Inf,1
1,1,32,92633.64,92273.086,92778.48,92437.66,91607.16,94784.125,91380.13,93169.11,56392.023,56197.43,56477.004,56267.426,55763.277,57908.207,55813.734,56570.42,30342.15,30246.938,30380.96,30255.734,29949.396,31189.963,30130.922,30414.182,-Inf,1
