Ix,t,l,g.300.43N.3W,g.300.44N.3W,g.300.43N.2W,g.300.44N.2W,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.43N.3W,g.500.44N.3W,g.500.43N.2W,g.500.44N.2W,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.43N.3W,g.700.44N.3W,g.700.43N.2W,g.700.44N.2W,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
1,1,1,92295.695,92287.266,92289.76,92252.2,91813.68,93298.62,92628.27,91646.234,56510.465,56558.777,56513.543,56533.75,56356.555,57106.953,56763.94,56210.547,30745.771,30794.518,30763.572,30790.584,30787.064,30986.807,30854.543,30361.09,-Inf,0
1,1,2,92389.375,92408.73,92404.32,92396.27,91689.34,93210.875,92580.38,91771.336,56662.23,56704.52,56656.473,56682.035,56298.07,57040.04,56758.32,55972.457,30764.193,30794.414,30772.37,30787.686,30708.41,30950.791,30798.242,30154.621,-Inf,1
1,1,3,91982.266,91996.25,91973.836,91963.69,91542.21,92331.33,92041.66,91700.266,56320.42,56340.63,56305.566,56316.676,56103.08,56641.35,56368.332,56000.562,30491.904,30481.14,30490.455,30487.453,30560.934,30679.64,30497.7,30215.889,-Inf,1
1,1,4,91851.805,91757.164,91811.19,91704.67,91657.734,92333.82,91421.32,92260.25,56066.008,56051.953,56072.965,56054.23,56103.21,56604.28,55778.535,56328.453,30338.217,30325.488,30343.496,30340.494,30455.475,30765.021,30113.225,30392.24,-Inf,1
1,1,5,91921.73,91811.19,92031.31,91928.24,91884.18,92488.234,90414.19,92157.18,56012.875,55951.445,56066.406,56013.145,56183.11,56465.363,55150.727,56328.72,30205.438,30156.691,30282.229,30236.691,30469.447,30464.479,29732.682,30541.684,-Inf,1
1,1,6,91677.27,91601.79,91831.305,91764.25,92433.82,92741.31,90450.78,92245.69,56082.87,55988.383,56116.863,56031.344,56436.59,56720.848,55364.59,56576.44,30509.498,30454.957,30514.775,30465.72,30614.232,30720.002,30052.992,30726.521,-Inf,1
1,1,7,91921.34,91856.016,91987.44,91930.92,92408.914,92505.86,91918.86,92138.41,56276.66,56275.453,56285.223,56284.152,56534.418,56638.14,56269.43,56447.16,30645.59,30645.59,30619.305,30641.037,30736.354,30686.367,30610.61,30632.344,-Inf,1
1,1,8,92310.83,92252.78,92345.89,92239.75,92404.32,92804.336,92515.24,91589.336,56340.363,56270.637,56338.355,56285.625,56404.47,56749.89,56248.957,56175.348,30430.016,30366.574,30449.576,30368.334,30545.307,30642.59,30309.344,30510.12,-Inf,1
1,1,9,92286.12,92151.625,92238.03,92097.02,91993,93050.13,92697.625,92458.54,56246.145,56143.63,56215.094,56120.61,56077.516,56981.285,56297.805,56425.883,30335.734,30217.545,30338.217,30224.375,30316.38,30803.107,30227.998,30479.795,-Inf,1
1,1,10,93277.734,93054.734,93175.81,92930.4,91281.85,94025.28,93459.734,92912.39,56705.992,56516.22,56654.47,56430.7,55681.906,57672.527,56870.473,56787.766,30567.04,30425.463,30532.783,30385.307,30095.527,31316.016,30639.484,30739.562,-Inf,1
