Ix,t,l,g.300.42N.6W,g.300.43N.6W,g.300.42N.5W,g.300.43N.5W,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.42N.6W,g.500.43N.6W,g.500.42N.5W,g.500.43N.5W,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.42N.6W,g.700.43N.6W,g.700.42N.5W,g.700.43N.5W,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
0,1,1,92198.75,92269.64,92211.2,92288.22,91813.68,93298.62,92628.27,91646.234,56386.266,56492.93,56415.977,56496.277,56356.555,57106.953,56763.94,56210.547,30592.809,30697.338,30624.271,30705.307,30787.064,30986.807,30854.543,30361.09,-Inf,0
0,1,2,92421.75,92388.23,92415.24,92382.29,91689.34,93210.875,92580.38,91771.336,56590.227,56622.48,56602.54,56640.547,56298.07,57040.04,56758.32,55972.457,30710.066,30738.63,30728.488,30755.81,30708.41,30950.791,30798.242,30154.621,-Inf,0
0,1,3,92058.33,92016.75,92050.28,92007.75,91542.21,92331.33,92041.66,91700.266,56303.83,56330.19,56307.574,56337.418,56103.08,56641.35,56368.332,56000.562,30497.7,30511.465,30501.426,30509.188,30560.934,30679.64,30497.7,30215.889,-Inf,0
0,1,4,91952.766,91891.84,91964.836,91914.836,91657.734,92333.82,91421.32,92260.25,56044.996,56006.05,56059.715,56025.457,56103.21,56604.28,55778.535,56328.453,30294.957,30250.973,30320.52,30277.674,30455.475,30765.021,30113.225,30392.24,-Inf,0
0,1,5,91667.31,91523.82,91768.66,91623.25,91884.18,92488.234,90414.19,92157.18,55920.4,55788.707,55988.652,55871.15,56183.11,56465.363,55150.727,56328.72,30205.746,30145.514,30215.475,30160.21,30469.447,30464.479,29732.682,30541.684,-Inf,0
0,1,6,91390.29,91257.71,91498.72,91378.79,92433.82,92741.31,90450.78,92245.69,56094.914,55981.69,56111.11,56007.387,56436.59,56720.848,55364.59,56576.44,30485.488,30421.736,30511.465,30457.234,30614.232,30720.002,30052.992,30726.521,-Inf,0
0,1,7,91676.89,91664.44,91756.4,91731.49,92408.914,92505.86,91918.86,92138.41,56283.215,56267.69,56285.492,56272.91,56534.418,56638.14,56269.43,56447.16,30707.582,30692.783,30683.365,30677.777,30736.354,30686.367,30610.61,30632.344,-Inf,0
0,1,8,92385.35,92416.39,92368.875,92346.27,92404.32,92804.336,92515.24,91589.336,56413.703,56357.09,56391.35,56346.117,56404.47,56749.89,56248.957,56175.348,30511.361,30470.584,30498.32,30452.576,30545.307,30642.59,30309.344,30510.12,-Inf,0
0,1,9,92619.08,92559.5,92520.99,92454.516,91993,93050.13,92697.625,92458.54,56432.305,56361.777,56389.08,56316.81,56077.516,56981.285,56297.805,56425.883,30428.049,30346.188,30422.564,30337.184,30316.38,30803.107,30227.998,30479.795,-Inf,0
0,1,10,93602.266,93506.29,93550.734,93442.3,91281.85,94025.28,93459.734,92912.39,56958,56851.47,56917.715,56794.723,55681.906,57672.527,56870.473,56787.766,30757.777,30671.258,30734.283,30629.549,30095.527,31316.016,30639.484,30739.562,-Inf,0
