Ix,t,l,g.300.41N.1E,g.300.42N.1E,g.300.41N.2E,g.300.42N.2E,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.41N.1E,g.500.42N.1E,g.500.41N.2E,g.500.42N.2E,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.41N.1E,g.700.42N.1E,g.700.41N.2E,g.700.42N.2E,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
0,1,23,93759.17,93503.61,93835.234,93626.6,93367.2,94265.13,92720.62,94050.76,57399.645,57254.703,57441.133,57313.457,57076.707,57668.65,56529.2,57665.703,31155.293,31050.559,31178.785,31084.814,30983.39,31295.525,30596.432,31227.115,-Inf,0
0,1,24,92985.95,92664.484,93052.44,92769.85,92575.016,94308.43,92912.39,93520.84,56767.29,56497.215,56837.414,56588.22,56375.695,57659.95,56722.99,57491.188,30692.473,30550.48,30750.016,30611.023,30487.246,31259.303,30773.715,31197.31,-Inf,0
0,1,25,91874.6,91113.07,91838.01,91207.13,91303.12,94014.55,93071.59,93994.05,55952.785,55678.293,56025.855,55725.54,55699.04,57438.055,56854.812,57534.15,30285.023,30211.854,30325.902,30225.514,30090.25,31174.127,30846.264,31092.99,-Inf,0
0,1,26,92108.52,91927.86,91786.86,91598.53,91406.38,94156.51,93169.875,93895.38,56394.832,56239.32,56298.875,56135.332,55704.793,57651.652,57223.79,57427.617,30571.387,30532.37,30542.408,30499.355,30108.568,31322.95,31186.857,30942.822,-Inf,0
0,1,27,92974.84,92835.95,93001.48,92858.94,92411.41,94068,93737.52,93860.9,56941.54,56826.04,56939.664,56825.24,56551.418,57698.76,57390.945,57573.227,30901.424,30917.984,30892.834,30902.459,30623.857,31399.535,31310.324,31147.943,-Inf,0
0,1,28,92611.99,92696.09,92549.54,92621.57,92455.086,94098.08,93378.5,93229.07,56746.812,56713.62,56710.273,56672.535,56311.59,57720.31,57141.348,57264.61,30855.992,30806.521,30821.734,30775.268,30460.03,31393.738,30952.24,31061.32,-Inf,0
0,1,29,92637.086,92683.64,92754.53,92746.484,92038.98,93810.13,92477.12,93881.59,56589.426,56522.375,56600.133,56504.844,55817.883,57410.35,56360.168,57234.363,30578.838,30504.531,30581.012,30484.35,29878.607,31097.854,30374.543,30833.844,-Inf,0
0,1,30,92856.83,92657.2,92857.21,92668.32,91967.33,94297.7,91079.164,93577.17,56640.15,56496.547,56640.28,56500.56,55815.605,57693.81,55417.32,57050.344,30510.43,30419.459,30522.848,30402.59,29850.25,31256.922,29785.566,30683.469,-Inf,0
0,1,31,93007.8,92790.35,93115.27,92898.79,91959.28,94724.35,90779.336,93281.375,56666.645,56498.418,56737.71,56560.918,55949.973,57991.85,55395.64,56713.62,30507.635,30437.88,30564.143,30463.857,30163.832,31367.865,29924.145,30478.14,-Inf,0
0,1,32,92481.52,92128.63,92633.64,92273.086,91607.16,94784.125,91380.13,93169.11,56309.45,56116.996,56392.023,56197.43,55763.277,57908.207,55813.734,56570.42,30296.924,30203.47,30342.15,30246.938,29949.396,31189.963,30130.922,30414.182,-Inf,0
0,1,33,91586.27,91279.36,91727.27,91483.39,90818.23,94679.91,92580.766,93353.41,55802.223,55695.426,55817.883,55688.465,55402.867,57670.12,56446.625,56898.176,30126.473,30066.963,30129.473,30022.771,29806.783,31005.021,30550.273,30690.713,-Inf,0
0,1,34,92786.71,92622.336,92736.71,92587.664,91926.33,94232.19,93108.76,93974.7,56722.855,56591.164,56690.87,56563.195,56030.676,57412.625,56627.164,57497.88,30681.502,30641.555,30658.527,30617.545,30250.248,30974.49,30606.781,31117.31,-Inf,0
0,1,35,93883.32,93713.96,93757.83,93615.875,92557.97,94038.88,93656.87,94553.84,57047.8,56962.01,56983.023,56880.508,56256.047,57473.79,57015.812,57811.047,30882.28,30803.314,30842.848,30764.09,30413.56,31017.543,30750.844,31282.277,-Inf,0
0,1,36,93657.25,93420.65,93722.77,93494.6,92879.25,94467.25,91889.734,94112.26,57092.633,56921.195,57132.25,56969.508,56467.234,57611.637,55880.918,57510.19,30822.355,30722.28,30825.047,30717.31,30365.332,31157.775,30073.793,31118.035,-Inf,0
0,1,37,92863.34,92651.46,92910.48,92707.016,92152.39,94536.414,91072.45,94086.39,56616.19,56382.117,56651.926,56440.87,56056.906,57713.348,55118.61,57362.84,30504.014,30362.746,30553.482,30404.97,30206.988,31242.02,29626.498,31009.264,-Inf,0
0,1,38,91639.34,91216.33,91683.79,91275.336,90657.305,94462.84,92437.84,94915.36,56114.723,55870.746,56135.465,55875.16,55245.75,57697.42,56125.027,57694.746,30232.861,30095.32,30187.12,30087.145,29712.398,31212.11,30232.654,30999.121,-Inf,0
0,1,39,93704.57,93375.055,93586.56,93294.016,91928.055,94873.59,93708.98,94801.56,56925.074,56716.832,56873.016,56652.996,55758.863,57838.08,56772.773,57705.05,30657.492,30559.174,30637.932,30519.227,29950.947,31166.262,30573.975,31035.965,-Inf,0
0,1,40,94403.266,94239.66,94427.21,94267.24,93470.27,95116.13,92757.21,94336.21,57462.95,57301.414,57450.5,57296.19,56623.688,58099.723,56109.5,57624.215,30976.664,30863.133,30968.178,30840.88,30418.941,31428.41,30196.123,31093.922,-Inf,0
0,1,41,93767.22,93387.125,93844.62,93526.21,92700.12,95002.72,90975.71,94781.06,57143.758,56920.523,57199.03,56981.555,56486.508,58193.54,55642.293,57980.344,30964.865,30848.54,31000.88,30880.105,30576.871,31656.611,30197.88,31367.14,-Inf,0
0,1,42,93670.664,93271.22,93646.336,93276.2,91891.266,94920.34,93091.71,94926.664,57229.543,56949.836,57211.746,56936.05,56088.758,58190.594,56801.01,58101.73,31041.863,30945.305,31044.348,30925.54,30474.104,31636.533,30883.52,31386.287,-Inf,0
0,1,43,94375.87,94169.34,94374.53,94160.53,93271.414,95220.93,92683.45,94866.51,57670.12,57516.613,57662.758,57520.363,57018.758,58306.625,56484.633,58053.28,31212.938,31127.246,31205.693,31129.936,30882.486,31643.984,30513.018,31457.49,-Inf,0
0,1,44,93584.45,93270.836,93670.47,93359.92,92704.91,94969.96,91734.37,94767.46,57119.266,56915.84,57151.52,56974.594,56540.574,58113.773,55951.043,57982.887,30940.545,30843.262,30959.588,30869.031,30677.57,31495.266,30237.312,31450.246,-Inf,0
0,1,45,93243.63,92853.19,93281.18,92919.09,91987.63,94644.66,91813.1,94566.68,56681.5,56503.773,56714.29,56539.24,56022.242,57862.57,56029.74,57738.242,30564.143,30471.93,30609.162,30496.148,30299.615,31289.418,30295.682,31168.85,-Inf,0
0,1,46,92441.484,92417.54,92407.96,92291.48,91314.99,94413.04,93608.98,94464,56538.168,56436.855,56508.188,56398.848,55862.582,57766.08,56627.566,57811.18,30648.592,30574.389,30630.584,30557.828,30282.643,31242.64,30455.371,31183.648,-Inf,0
0,1,47,94823.21,94701.17,94789.11,94670.13,93995.77,94549.25,93946.16,94968.62,57662.09,57559.31,57625.02,57535.082,57020.098,57760.324,56747.08,58075.098,31138.732,31026.96,31135.215,31029.963,30674.982,31218.525,30292.268,31383.494,-Inf,0
0,1,48,94943.71,94756.16,94962.1,94787.766,94045.77,95139.695,93286.734,94298.28,57827.508,57693.14,57853.47,57733.69,57260.727,58003.9,56706.395,57854.94,31239.639,31176.197,31253.195,31192.652,30971.695,31302.873,30532.887,31370.143,-Inf,0
0,1,49,94334.1,94176.055,94442.54,94282.57,93879.68,95037.2,92788.055,94529.13,57576.035,57430.293,57629.3,57510.86,57157.543,58027.32,56684.848,57904.863,31226.703,31140.7,31250.713,31171.438,30950.48,31360.932,30755.914,31302.666,-Inf,0
0,1,50,93481.766,93181.18,93581.77,93294.21,92677.13,94830.11,93343.25,94446.75,57203.582,57004.035,57226.734,57042.047,56655.27,58049.535,57026.254,57881.31,31116.068,30968.799,31142.77,31013.508,30715.242,31572.988,31014.543,31339.51,-Inf,0
0,1,51,93772.39,93509.35,93770.86,93519.89,92539.766,94815.734,93558.4,94685.84,57327.508,57156.473,57314.66,57145.23,56536.023,58117.656,57205.453,58114.977,31131.695,31017.232,31092.266,30971.695,30567.764,31643.984,31124.451,31545.977,-Inf,0
0,1,52,93682.92,93459.92,93667.41,93441.53,92344.35,94517.445,93689.44,94172.414,57236.906,57072.426,57218.168,57045.523,56357.227,57991.184,57326.438,57787.758,31073.637,30959.898,31025.926,30914.361,30489.11,31544.838,31197.414,31398.604,-Inf,0
0,1,53,93935.62,93739.63,93850.555,93652.08,92127.1,94803.09,94802.71,94133.71,57326.574,57182.57,57280.266,57109.496,55841.57,57957.86,57756.844,57771.566,31045.693,30950.998,30976.768,30861.27,30146.238,31498.68,31453.455,31405.02,-Inf,0
0,1,54,94762.67,94680.1,94690.63,94570.7,93321.22,94845.625,94805.2,93946.54,57718.3,57609.492,57635.055,57537.09,56563.06,57979.54,57958.527,57523.04,31109.342,31041.348,31057.803,30971.799,30358.088,31469.393,31623.803,31201.553,-Inf,0
0,1,55,94484.305,94387.75,94509.78,94409.78,93771.24,95022.26,94100.76,93872.78,57719.773,57648.305,57709.6,57633.582,57150.582,58177.344,57478.605,57506.844,31289.832,31257.543,31260.234,31237.258,30886.832,31561.293,31221.734,31158.81,-Inf,0
0,1,56,93746.15,93665.11,93767.6,93674.69,93370.08,94931.07,93911.09,94218.195,57477.133,57352.133,57470.71,57346.113,56980.348,58120.2,57274.38,57687.918,31304.53,31219.768,31279.586,31195.55,30784.271,31568.021,31067.014,31252.574,-Inf,0
0,1,57,94112.83,94005.734,94039.836,93896.73,92873.69,94639.67,94699.26,94278.734,57469.24,57356.953,57419.184,57299.004,56472.453,57936.98,57727.535,57571.484,31254.645,31142.148,31201.656,31075.707,30459.201,31550.635,31326.676,31146.393,-Inf,0
