Ix,t,l,g.300.43N.6W,g.300.44N.6W,g.300.43N.5W,g.300.44N.5W,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.43N.6W,g.500.44N.6W,g.500.43N.5W,g.500.44N.5W,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.43N.6W,g.700.44N.6W,g.700.43N.5W,g.700.44N.5W,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
0,1,1,92269.64,92374.24,92288.22,92344.164,91813.68,93298.62,92628.27,91646.234,56492.93,56600.266,56496.277,56587.28,56356.555,57106.953,56763.94,56210.547,30697.338,30764.09,30705.307,30777.543,30787.064,30986.807,30854.543,30361.09,-Inf,0
0,1,2,92388.23,92435.74,92382.29,92426.35,91689.34,93210.875,92580.38,91771.336,56622.48,56713.49,56640.547,56719.242,56298.07,57040.04,56758.32,55972.457,30738.63,30778.371,30755.81,30788.617,30708.41,30950.791,30798.242,30154.621,-Inf,0
0,1,3,92016.75,92017.33,92007.75,92014.266,91542.21,92331.33,92041.66,91700.266,56330.19,56379.844,56337.418,56373.82,56103.08,56641.35,56368.332,56000.562,30511.465,30488.178,30509.188,30486.42,30560.934,30679.64,30497.7,30215.889,-Inf,0
0,1,4,91891.84,91795.67,91914.836,91814.83,91657.734,92333.82,91421.32,92260.25,56006.05,55969.246,56025.457,56004.445,56103.21,56604.28,55778.535,56328.453,30250.973,30232.242,30277.674,30257.184,30455.475,30765.021,30113.225,30392.24,-Inf,0
0,1,5,91523.82,91401.78,91623.25,91528.8,91884.18,92488.234,90414.19,92157.18,55788.707,55704.66,55871.15,55788.707,56183.11,56465.363,55150.727,56328.72,30145.514,30069.447,30160.21,30086.523,30469.447,30464.479,29732.682,30541.684,-Inf,0
0,1,6,91257.71,91107.7,91378.79,91243.73,92433.82,92741.31,90450.78,92245.69,55981.69,55836.617,56007.387,55893.363,56436.59,56720.848,55364.59,56576.44,30421.736,30322.28,30457.234,30369.783,30614.232,30720.002,30052.992,30726.521,-Inf,0
0,1,7,91664.44,91674.016,91731.49,91707.35,92408.914,92505.86,91918.86,92138.41,56267.69,56255.65,56272.91,56257.254,56534.418,56638.14,56269.43,56447.16,30692.783,30679.537,30677.777,30674.568,30736.354,30686.367,30610.61,30632.344,-Inf,0
0,1,8,92416.39,92396.27,92346.27,92344.734,92404.32,92804.336,92515.24,91589.336,56357.09,56269.164,56346.117,56266.89,56404.47,56749.89,56248.957,56175.348,30470.584,30381.064,30452.576,30376.82,30545.307,30642.59,30309.344,30510.12,-Inf,0
0,1,9,92559.5,92412.555,92454.516,92314.66,91993,93050.13,92697.625,92458.54,56361.777,56232.36,56316.81,56199.84,56077.516,56981.285,56297.805,56425.883,30346.188,30222.1,30337.184,30213.924,30316.38,30803.107,30227.998,30479.795,-Inf,0
0,1,10,93506.29,93360.305,93442.3,93271.8,91281.85,94025.28,93459.734,92912.39,56851.47,56735.703,56794.723,56670.527,55681.906,57672.527,56870.473,56787.766,30671.258,30541.994,30629.549,30502.564,30095.527,31316.016,30639.484,30739.562,-Inf,0
0,1,11,93742.31,93635.8,93705.336,93601.31,93308.766,93809.37,93550.734,93158.76,57349.594,57275.984,57305.293,57229.812,56840.492,57690.46,57255.24,57080.59,31186.34,31180.545,31156.844,31148.047,30607.816,31461.32,31195.861,31132.627,-Inf,0
0,1,12,93455.13,93290.57,93453.03,93324.48,93123.51,93310.49,92669.086,93755.53,57050.344,56911.29,57052.35,56932.305,56781.742,57279.062,56409.82,57273.04,30886.832,30786.857,30889.316,30803.107,30732.111,31207.867,30544.79,31141.32,-Inf,0
0,1,13,91970.01,91647.39,91966.945,91632.445,92208.91,92847.445,91566.35,93435.98,55968.844,55733.836,55986.11,55738.117,56138.008,56750.29,55561.594,57159.55,30193.432,30056.924,30209.162,30059.926,30294.44,30778.475,30010.975,30931.23,-Inf,0
0,1,14,92453.75,92228.64,92390.14,92176.72,91827.28,93090.75,92290.14,93833.695,56093.04,55947.566,56041.78,55904.473,55929.496,56874.22,55951.715,57155.8,30268.98,30195.191,30275.709,30204.713,30240.418,30809.42,30043.988,30880.416,-Inf,0
0,1,15,93885.04,93805.16,93802.47,93727.56,92685.56,93439.62,93908.99,94717.65,57337.277,57262.47,57273.04,57205.055,56631.582,57273.977,57339.82,57838.48,31155.293,31090.299,31104.787,31042.484,30668.773,31251.23,31162.537,31365.28,-Inf,0
0,1,16,94683.35,94669.37,94629.33,94623.39,93543.836,93636.37,94517.445,95061.34,57989.98,57969.504,57970.707,57953.977,57210.94,57276.652,57875.152,58060.508,31667.684,31692.11,31644.191,31664.684,31186.65,31262.2,31665.201,31339.406,-Inf,0
0,1,17,94499.055,94460.164,94552.695,94520.125,94147.125,93413.18,93841.17,94769.18,57894.02,57900.848,57950.766,57958.527,57633.582,57202.11,57504.57,57965.62,31516.895,31537.904,31546.184,31571.436,31418.682,31101.373,31334.645,31333.195,-Inf,0
0,1,18,94463.805,94401.16,94475.3,94413.805,94312.266,93318.34,94335.26,94827.234,57807.434,57728.473,57840.62,57762.465,57884.92,57190.867,57631.977,58191.4,31539.871,31484.605,31546.598,31489.367,31563.674,31121.863,31382.355,31492.16,-Inf,0
0,1,19,94514.95,94479.32,94520.32,94487.945,93421.8,93570.47,94257.47,94888.34,57916.64,57876.355,57875.418,57841.156,57411.156,57371.406,57822.152,58311.043,31609.004,31576.197,31609.004,31579.197,31332.266,31162.02,31506.443,31704.734,-Inf,0
0,1,20,94341.766,94236.78,94300.195,94203.26,93731.2,93779.09,94039.266,95012.68,57867.523,57801.277,57857.082,57807.566,57211.21,57411.29,57591.023,58280.527,31552.082,31501.371,31561.086,31507.168,30969.834,31247.918,31348.1,31658.162,-Inf,0
0,1,21,94131.8,94030.26,94220.305,94134.29,93643.266,94004.4,93272.75,94624.734,57642.15,57563.855,57678.15,57617.656,57150.984,57543.113,56960.676,57996.67,31206.936,31158.396,31229.186,31189.342,30808.074,31159.95,30879.795,31375.215,-Inf,0
0,1,22,93133.48,92823.5,93380.61,93098.03,93831.016,93849.984,90985.48,94436.984,56928.555,56728.074,57066.535,56895.098,57312.52,57531.07,55758.996,57832.86,30753.43,30650.662,30816.146,30729.627,31013.404,31272.86,30256.873,31262.406,-Inf,0
