g.300.,g.500.,g.700.,g.300.45N.10W,g.500.45N.10W,g.700.45N.10W,g.300.35N.10W,g.500.35N.10W,g.700.35N.10W,g.300.45N.5E,g.500.45N.5E,g.700.45N.5E,g.300.35N.5E,g.500.35N.5E,g.700.35N.5E,g.300..lag1,g.500..lag1,g.700..lag1,g.300.45N.10W.lag1,g.500.45N.10W.lag1,g.700.45N.10W.lag1,g.300.35N.10W.lag1,g.500.35N.10W.lag1,g.700.35N.10W.lag1,g.300.45N.5E.lag1,g.500.45N.5E.lag1,g.700.45N.5E.lag1,g.300.35N.5E.lag1,g.500.35N.5E.lag1,g.700.35N.5E.lag1,"poly(g.300., 2)1","poly(g.300., 2)2","poly(g.500., 2)1","poly(g.500., 2)2","poly(g.700., 2)1","poly(g.700., 2)2","poly(g.300.45N.10W, 2)1","poly(g.300.45N.10W, 2)2","poly(g.500.45N.10W, 2)1","poly(g.500.45N.10W, 2)2","poly(g.700.45N.10W, 2)1","poly(g.700.45N.10W, 2)2","poly(g.300.35N.10W, 2)1","poly(g.300.35N.10W, 2)2","poly(g.500.35N.10W, 2)1","poly(g.500.35N.10W, 2)2","poly(g.700.35N.10W, 2)1","poly(g.700.35N.10W, 2)2","poly(g.300.45N.5E, 2)1","poly(g.300.45N.5E, 2)2","poly(g.500.45N.5E, 2)1","poly(g.500.45N.5E, 2)2","poly(g.700.45N.5E, 2)1","poly(g.700.45N.5E, 2)2","poly(g.300.35N.5E, 2)1","poly(g.300.35N.5E, 2)2","poly(g.500.35N.5E, 2)1","poly(g.500.35N.5E, 2)2","poly(g.700.35N.5E, 2)1","poly(g.700.35N.5E, 2)2",STAID
,,,,,,,,,,,,,,,1.91230911329788,-2.50904358772491,3.78542026422307,,,,2.59436648768554,-2.33742811310607,3.22803886625332,,2.55164739047454,-2.66999154746575,,-3.33685709331102,,,,1.90699832477811,0.0036920342323676,,,4.0957904386878,-1.16325299165711,,,,,-0.611602725026404,-0.78237217205182,1.91573700561225,-0.674688039215374,-4.66111824136826,0.245977831201032,,,,,2.49573815219193,0.113829561506303,,,4.54926870121335,-3.28790833828655,,,3908
,,,,,,,,,,,,,,,,,,,,,3.02041903546265,,-2.02005875691981,-3.57467446541655,4.16855897760656,,1.4912210829738,-2.36159956043292,1.74516231306084,-0.0239489622761578,2.76823271735686,0.308301956762227,-3.60017308569445,2.0951180071558,4.17265304916097,-1.66060754461378,-1.46144165489612,3.96079348715095,0.93587302441884,-7.31690808342962,-0.753823051163324,,,,,,,,,1.61103960851468,0.0901729865163115,-1.33293717326606,-0.642279287758939,2.93990581088114,-3.19445499432026,-1.91429841857857,2.78929192279574,1.23719428493647,-2.05018031279345,3910
,,,,,,,,,,,,,,,,-1.90405061602203,3.5920532819177,3.33031655174692,,,3.75890334707736,,-4.66995124914878,,2.90806649726509,-2.18174032439566,,,,2.88128801124777,-3.44001465868429,,,2.33516561441769,0.0113494509783974,1.05906871242334,0.549494758306892,,,2.44170835511212,-3.97496490419901,-0.953105301799693,-0.219963759857219,,,,,,,,,,,1.31784905367062,0.900057616760253,-0.398963820494413,-1.53219950419288,,,3921
,,,,,,,,,,,,,,,2.4642489875237,-2.44063405119344,,-3.80901628629624,4.6957672973752,,,,-2.12547613855969,-2.62329571719617,,3.17576970787801,,,,,,,,5.11862866835042,1.22142901319805,-2.40469461934007,0.870106348833131,3.42430719260301,-2.25628498142945,-7.18873509023533,3.63873001927852,,,-2.22427130090592,-0.164216533579104,,,,,3.9137080396369,-1.13922196246577,,,3.00234806841209,-2.34470093003688,-1.6396671216239,2.21756896904142,-0.110637864790758,-2.18137933095886,3922
,,,,,,,,,,,,,,,2.4534888429413,-1.9942419209928,1.85468981678115,-1.91441443990454,2.51637905196944,-3.33912706289976,,-2.23926168055721,,-2.53691628122267,4.62626841826161,,-1.58628878790288,,,,,2.86436039148387,-3.26250440490319,-3.10365744964641,3.55504709897423,,,1.5515907715526,4.27674107661963,,,,,2.54943724447094,-2.79740940583982,,,,,3.32142153340146,-2.05657062353059,-4.26871021296194,3.43945296386445,,,,,3.17137728647183,-1.16311224888911,3924
,,,,,,,,,,,,,,,,-2.13013960872265,5.36912541765455,4.74538523497505,-5.52240822159308,,,,,,4.42246740780777,-2.94214023420594,,-4.33872682832227,,,,1.98187364335119,-0.637182750356865,2.18823635823758,-1.06115822920045,,,,,,,,,,,-4.11500374272218,1.85762771752437,,,-2.02494283111757,-1.79650271380723,,,2.93208305599461,-2.69052574663857,,,-1.46724585239078,2.93142270852451,3937
,,,,,,,,,,,,,,,,,3.17081535575454,,2.12136500747954,-1.78878949819518,,,,-2.68582769246947,3.24745579386273,-1.8507095017371,,,-2.51693617545795,,,,,2.8288702775325,-0.0937429809048986,,,,,-3.06789130674431,-1.27485197113859,2.91803873767609,-2.19522062712644,,,-3.09174152088058,2.36671011401534,2.17988896504623,-2.00438905208509,,,-2.24982020802171,0.163221295960399,,,2.20299576153121,-1.59386167998856,,,3943
,,,,,,,,,,,,,,,,,,,,,,,5.07225898134085,,3.32660496096717,-2.59110732341394,2.21129456192244,-3.49511627880027,,2.4373451554219,-2.91294417371382,,,3.60126315503472,0.48857267042853,-1.477390250058,2.48649098383259,1.7205242713496,-2.49967044545077,,,,,,,-2.7106311947736,-0.777021607529944,1.71118271224878,-0.168335884558491,-2.64219422203758,0.420868794107875,,,,,,,,,3963
,,,,,,,,,,,,,,,,-1.9029040394814,3.64442904167902,,3.53427571642481,-3.03931154412529,,,-3.57955356481588,-1.99325740708025,2.26274676150489,-2.25557657603736,3.67777804998861,-2.4158413327309,,1.46273521190234,-2.52494462597009,0.917775968416402,-0.0313153916204695,-0.133475183128399,1.39362023943662,-1.98190302859229,2.00290747040299,2.19840660783973,-1.29634662369152,-2.69799788314668,-0.675544898809357,,,,,,,,,1.71560300034729,-0.565669870233855,-1.60505224955917,0.241289477480348,,,,,,,3970
,,,,,,,,,,,,,,,,,,,4.42804742884644,-2.71295600284701,2.35275830935658,,,,2.49056754553996,,,,-2.57426391870852,-0.056418925229692,-0.682908028392381,0.998886184426173,0.0471851041083941,1.50616600238982,-0.168839065099071,,,,,-7.37277063958972,-2.2269819521494,2.01457768685188,-1.78460057027447,,,-4.18964211631033,2.68141600737924,,,1.1588946505116,-2.20500519374595,,,2.9852086374691,-2.04976214667897,,,,,3971
,,,,,,,,,,,,,,,,,2.61835132509958,,4.05877439377726,-2.14561434620004,2.08586691785427,,-2.73388781586858,,,,2.32507321841944,-1.98382355112276,,2.03301053127163,-2.47272517626978,,,2.53310630754891,0.0537383912124582,,,,,-3.12169533098359,-1.75152352694755,2.03687988236265,-1.96393776381351,-2.5810066738429,1.62148572076593,,,,,1.66272780157384,-1.05600574764675,,,,,2.85985397767889,-2.52279770434892,-2.21894650042636,2.59583113571196,414
,,,,,,,,,,,,,,,,,5.30344830354295,2.721234142019,,-2.66596977461027,2.45433612174167,-3.383828140996,2.01260967332934,,2.25903024782063,-2.55373575739219,,,,-0.743683215324127,-1.11689432367824,2.60554549800658,0.304153242799827,,,,,0.582540630899309,-2.82106293632013,,,2.20022848888453,-1.38655515190453,,,-2.24332999088085,0.50279611274715,,,0.779295046057484,-1.89691460808556,,,1.69498600531254,-0.05555191555882,-1.082717151575,-0.985990168510506,,,416
,,,,,,,,,,,,,,,,,,-2.02210950954542,4.67299273186721,,,2.63865063745275,-3.35262327771692,,,,,,,-2.41227332276942,3.95875416247671,1.07168302243786,-3.3963167081925,2.37881540315327,1.68078205992348,0.418276842763506,-3.72093531098736,2.66373512526963,2.26961870949919,-5.9960942736171,0.0461984969849805,2.76926083462753,-1.90028759767902,-2.80860839189247,0.904101882836609,,,-2.92457165400618,0.974761505156721,,,2.57049772627855,0.169737614190679,,,,,,,420
,,,,,,,,,,,,,,,,,5.31444124994615,,3.94515707029374,-4.3882520129061,,-2.14787297007532,,,5.96532086814548,,,,-4.33354041946501,,,3.72825234032345,-4.14664033819243,-1.24265142184693,4.2266359111653,,,,,-5.28733994863556,-0.534609353635303,2.00894566601363,-0.94183189331817,-2.02360864999495,1.23450534817295,2.54734795602861,-1.17354490040434,,,,,-8.68220809907895,-3.25947065717562,,,,,2.06977666059731,-1.11069528467294,421
,,8.48907324480588,3.41916440277383,,,,,-4.78590277657264,3.16756837134648,-3.2852026003588,,,,,,,5.73731345478314,,,-2.26487002008443,,,,,3.56843481680259,-3.1709924284755,1.60088827253932,-2.80151243260732,1.90819380337495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423
,,,,,,,,,,,,,,,,3.56866047244523,,3.23354375366293,,-2.54493838374037,2.60653872769309,-2.48305206673025,1.57756447509541,-2.86513304530067,3.16660158903379,-2.8534293762771,2.31629989885834,,-1.49761329023582,0.0687717898514116,-0.870691800814813,2.69694619687508,-2.15202786078139,-0.526505090867363,2.28159014590756,,,,,-3.53568539418941,-0.823305115025784,1.23012148077461,-2.42117965153914,,,-1.69052076364284,2.35156862981473,-2.47753419689777,2.82852273051781,2.66004937474591,-2.51183592581029,-2.54591744435308,1.17692422241839,,,1.03005807602536,-1.90779530417254,,,424
