"STAID","Name","CoastDist","Model","k","AUC"
229,"BADAJO",163,"m4",30,0.910574168638685
230,"MADRID",303,"m4",30,0.930308966346403
231,"MALAGA",1.7,"m4",30,0.67621225319396
232,"NAVACE",290.6,"m4",30,0.937473925740509
233,"SALAMA",259.9,"m4",30,0.908265515141449
234,"SAN SE",0.9,"m4",30,0.854878073377841
236,"TORTOS",17.6,"m4",30,0.79651442886737
237,"VALENC",3.1,"m4",30,0.636852524894365
238,"ZARAGO",172.1,"m4",30,0.895463510848126
335,"FABRA ",8.3,"m4",30,0.782921127107174
336,"ALBACE",136,"m4",30,0.905170902716915
414,"BURGOS",118.2,"m4",30,0.940748351742444
416,"CIUDAD",248.3,"m4",30,0.934468222432885
420,"A CORU",1.4,"m4",30,0.781088917525773
421,"MURCIA",39,"m4",30,0.825652173913043
423,"SEVILL",60.6,"m4",30,0.89362431674701
424,"SORIA ",170.5,"m4",30,0.932975108090315
1393,"BILBAO",8.7,"m4",30,0.805316091954023
1394,"SANTIA",34.3,"m4",30,0.878678049828179
1396,"PONFER",107.8,"m4",30,0.916732866324836
1397,"LEON V",103.8,"m4",30,0.927832348373303
1398,"LOGRON",94.3,"m4",30,0.919824332171893
1399,"ZAMORA",222.6,"m4",30,0.915895854744776
1401,"REUS/A",6,"m4",30,0.724980969297133
2969,"BCN/AE",1.4,"m4",30,0.768781565656566
3905,"VITORI",54.7,"m4",30,0.930324004056723
3908,"ALMERI",1.1,"m4",30,0.769338374291115
3910,"GIJON ",2,"m4",30,0.601878736122972
3921,"CACERE",211.1,"m4",30,0.883791689080151
3922,"SANTAN",0.2,"m4",30,0.664036016949152
3924,"CASTEL",6,"m4",30,0.832714368242964
3937,"HUELVA",2.9,"m4",30,0.872969439088713
3943,"LLEIDA",71.1,"m4",30,0.934479934479934
3963,"MORON ",57.3,"m4",30,0.910129352525666
3970,"VALLAD",189.4,"m4",30,0.938551483420593
3971,"DAROCA",172,"m4",30,0.944493478474061
