"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36"
"1";"BILBAO";"SANTIA";"PONFER";"LEON V";"LOGRON";"ZAMORA";"REUS/A";"BADAJO";"MADRID";"MALAGA";"NAVACE";"SALAMA";"SAN SE";"TORTOS";"VALENC";"ZARAGO";"BCN/AE";"FABRA ";"ALBACE";"VITORI";"ALMERI";"GIJON ";"CACERE";"SANTAN";"CASTEL";"HUELVA";"LLEIDA";"MORON ";"VALLAD";"DAROCA";"BURGOS";"CIUDAD";"A CORU";"MURCIA";"SEVILL";"SORIA "
"2";"0.944199807348287";"0.926844845690038";"0.947777261462206";"0.963524105618076";"0.956609052535119";"0.963399901380671";"0.824599769802239";"0.960391368559239";"0.945444373320968";"0.917728102189781";"0.94825831702544";"0.935586936903978";"0.942365029127104";"0.850373265074623";"0.849988048761055";"0.937296384185336";"0.835929645637055";"0.907634558582212";"0.937809469775119";"0.954829182630907";"0.868373801828679";"0.826806569343066";"0.960857664233577";"0.856565746910544";"0.824334319526627";"0.927084589109906";"0.936226896112173";"0.949329208217084";"0.956581352833638";"0.971291649712916";"0.967372490490553";"0.962555874840358";"0.870233915872587";"0.884280032808806";"0.954934252521384";"0.946222760865949"
