"STAID","g300.","g500.","g700.","g300.45N.10W","g500.45N.10W","g700.45N.10W","g300.35N.10W","g500.35N.10W","g700.35N.10W","g300.45N.5E","g500.45N.5E","g700.45N.5E","g300.35N.5E","g500.35N.5E","g700.35N.5E","g300..lag1","g500..lag1","g700..lag1","g300.45N.10W.lag1","g500.45N.10W.lag1","g700.45N.10W.lag1","g300.35N.10W.lag1","g500.35N.10W.lag1","g700.35N.10W.lag1","g300.45N.5E.lag1","g500.45N.5E.lag1","g700.45N.5E.lag1","g300.35N.5E.lag1","g500.35N.5E.lag1","g700.35N.5E.lag1","poly(g300., 2)1","poly(g300., 2)2","poly(g500., 2)1","poly(g500., 2)2","poly(g700., 2)1","poly(g700., 2)2","poly(g300.45N.10W, 2)1","poly(g300.45N.10W, 2)2","poly(g500.45N.10W, 2)1","poly(g500.45N.10W, 2)2","poly(g700.45N.10W, 2)1","poly(g700.45N.10W, 2)2","poly(g300.35N.10W, 2)1","poly(g300.35N.10W, 2)2","poly(g500.35N.10W, 2)1","poly(g500.35N.10W, 2)2","poly(g700.35N.10W, 2)1","poly(g700.35N.10W, 2)2","poly(g300.45N.5E, 2)1","poly(g300.45N.5E, 2)2","poly(g500.45N.5E, 2)1","poly(g500.45N.5E, 2)2","poly(g700.45N.5E, 2)1","poly(g700.45N.5E, 2)2","poly(g300.35N.5E, 2)1","poly(g300.35N.5E, 2)2","poly(g500.35N.5E, 2)1","poly(g500.35N.5E, 2)2","poly(g700.35N.5E, 2)1","poly(g700.35N.5E, 2)2"
"1401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.55588609274503,NA,NA,NA,-4.13092211480429,-2.67958532092463,NA,NA,-1.67110676442383,4.62333991768281,NA,-2.52296434871041,NA,2.58991826441133,NA,NA,5.24657910565401,-4.18208223157681,NA,NA,NA,NA,NA,NA,4.11299530186934,4.81082058547464,-2.62080338958529,2.73828365386569,2.80907311461887,-2.77975757097554,NA,NA,NA,NA,3.15486114656812,-0.0426319106837764,-6.12733286011959,3.03173579410615,-0.597530722875129,2.90297139259953,0.0349145867977828,-2.33123950209239,0.054356690027532,1.89981406663836
"2969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75468318210155,-2.93418963585971,3.38587063594942,-1.93631175226283,2.16662324797616,-3.01773321860094,NA,NA,NA,-2.40113961507761,3.79753364291856,-2.26435351259985,NA,-2.34516425056352,2.68485068460641,1.58793213565169,-3.04127890239394,NA,NA,NA,NA,NA,NA,2.0465701915481,-0.607018130459316,-1.01255060748264,2.53634311434997,-3.71857513598705,0.284241227627614,NA,NA,NA,NA,NA,NA,3.37553985588318,-0.583697909044351,-3.99188345479726,2.24374549331876,-1.85155177596296,3.642065956873,1.43627883391487,-2.28270726192687,NA,NA
"3905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.73229091512448,NA,3.28389743946778,-2.92460343837584,3.38996877988569,-2.05343802203034,NA,NA,NA,NA,-3.31940261795442,NA,NA,-3.77807091880501,NA,NA,NA,NA,NA,5.14601205041234,2.76591667979659,NA,NA,3.1149208810272,-1.089991799452,-7.70753410608483,-0.436874497930712,-3.83233369496354,2.67451610547733,2.54672204571723,-2.85270688156631,NA,NA,NA,NA,2.52589777009077,0.042941789971488,NA,NA,-0.199658764718603,2.4801921885768,NA,NA,2.60637457477938,-1.06030073395944
"3908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.14769937764426,3.21603247366771,1.61509641128379,-1.6299056895078,NA,NA,NA,2.34505133208184,NA,NA,-2.77728051062261,NA,-3.24249626820828,NA,-3.43470199224912,2.05126705597221,1.94384143056413,-0.523630279729713,2.18398007983633,-0.82978100800404,NA,NA,4.12352486479231,-2.0252991611689,NA,NA,NA,NA,NA,NA,-8.74061928293593,-1.06037260872322,NA,NA,2.1672086539349,2.57623582338728,NA,NA,-0.754484237033787,2.49684274533338,1.70973673156738,-2.87290898563978,NA,NA
"3910",1.9858392086738,-2.05711266561112,3.28308581306955,-2.50448454236677,4.03883193247645,-6.5734540716852,-3.12065338137053,NA,4.06641899142325,NA,1.85493438460822,NA,2.52606765665927,-1.54009080887775,NA,NA,NA,2.52713768956302,NA,NA,NA,NA,NA,-1.74618823489831,-3.22897780061758,2.01903412985736,NA,NA,-2.33360079730748,2.05347082342828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.40894919844305,2.46583528970353,NA,NA,NA,NA,-2.69353394602684,NA,2.8210749238383,-2.92305258716687,-2.10704319569538,2.09089480315395,-2.16715479548773,NA,NA,-2.60477917244684,2.34736001121071,5.44009719585811,-0.218301446863125,NA,NA,0.780149907353806,1.39981932445014,-0.995217636587235,-2.3831769192848,-3.18573358597709,-1.78738812703246,NA,NA,NA,NA,-3.26709967320659,0.969252302025469,2.84498710829671,-1.40994036110981,-2.40842087645265,1.46074845721572,-2.20994154397104,3.55404057694096,0.924770011688596,-3.12842995363917,NA,NA
"3922",NA,NA,5.13188855169378,-2.9234532025866,4.26630928281171,-7.74674593023798,NA,NA,NA,NA,3.9780734052467,NA,2.7454131048442,-1.57315795359615,NA,NA,NA,NA,-2.18891504687323,3.3998949906945,NA,NA,-2.83583229657355,1.53726633321188,-3.20931195882911,2.25235869058688,NA,NA,-2.04132843628371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55262870860333,-2.66470563742985,3.36869450479356,-1.7596979456677,2.20961028172323,-3.27219292250846,NA,-2.97134652973256,NA,-2.71883094657612,4.01107950719303,-2.03838463052617,NA,-3.43914186120574,2.51897873240323,-2.35380052501001,2.22376488262733,2.89644236234041,-2.57783353870942,-1.11352720425703,2.2983477467982,NA,NA,NA,NA,-0.925618605671124,6.5561672811661,NA,NA,-3.09875718435774,1.89679644296659,4.10062353399586,-3.10780062254016,3.02527720841744,-2.50969871129513,NA,NA,-5.40575409107502,4.07162517504288,NA,NA,NA,NA,NA,NA
"3937",-3.72355104410709,2.28700658447186,2.86437401756267,NA,NA,2.25460801961511,NA,NA,NA,NA,2.10953261055392,-3.55255343117001,NA,NA,NA,NA,-2.4664569112301,4.25022120396304,3.04231401778442,-4.34562925414305,NA,NA,NA,NA,NA,NA,1.57191486020201,-6.67134406561024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85833254335635,NA,NA,NA,NA,NA,NA,-3.75635626633649,3.71789684543153,-2.40697496846256,-2.59646120784952,NA,NA,NA,NA,NA,NA,6.21842770359421,0.625771102501217,-1.99161847372287,0.657142187177408,2.37808383062663,-0.757696488307296,-4.24719156319015,0.313836798562204,NA,NA,-2.7269070684431,0.734888317107592,2.97303275138998,-1.20424379106984,-1.94327417340193,1.92637807346464,3.23246081382729,-2.49825667931126,-5.17460853836294,2.57687324737585,-2.0265103047157,4.28346292680474,NA,NA,NA,NA
"3963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.54254285886622,NA,NA,2.13731078001083,NA,-2.04229265599316,1.48904124780582,-1.98703051982007,3.72327142951541,NA,3.71894704570559,-3.58723384902096,-1.67941024308011,NA,NA,-2.84238240917631,1.53192761157041,3.1548191105757,-1.47697202441744,1.25066309102807,2.23301201837083,NA,NA,NA,NA,NA,NA,NA,NA,-2.95170179071945,-1.31289344662299,NA,NA,NA,NA,NA,NA,NA,NA,-2.15017751229114,3.68763008546159,NA,NA,0.0945273306573101,-3.31663464866169
"3970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.69382202892848,NA,2.14554911107593,-2.36691601959277,NA,-5.15502535940602,NA,-3.95954405233624,4.15968853128009,-4.17112252982889,NA,NA,NA,-2.30401424719613,-0.662282337407057,1.47132200275676,0.905171496295506,1.64165968477463,0.270998619826649,NA,NA,2.55886600027377,-0.800099511590963,-4.06666383396928,-0.994205981619434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.90818006445395,4.25057831732429,2.10240352037707,-3.7437694448553,NA,NA
"3971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.99135396874105,5.26653857580313,NA,NA,2.01979291017256,-1.42300065066362,NA,NA,NA,NA,NA,NA,NA,-4.84019228568948,NA,NA,NA,NA,NA,7.3550432624229,2.76855845996322,NA,NA,NA,NA,-9.1546130477055,-5.01115247088328,-4.26063530082677,1.87697665428243,NA,NA,NA,NA,-2.1672259389039,2.61964557662957,2.96216856962881,-2.35777542196689,-4.25598092250602,1.46323842185365,-2.88893341083904,5.08609430261038,NA,NA,3.58383272056891,-3.16555519399224
