"STAID","STAAB","AUC01","AUC02","AUC03","AUC04","AUC05","AUC06","AUC07","AUC08","AUC09","AUC10","AUC11","AUC12","AUC13","AUC14","AUC15","AUC16","AUC17","AUC18","AUC19","AUC20","AUC21","AUC22","AUC23","AUC24","AUC25","AUC26","AUC27","AUC28","AUC29","AUC30","AUC31","AUC32","AUC33","AUC34","AUC35","AUC36","AUC37","AUC38","AUC39","AUC40","AUC41","AUC42","AUC43","AUC44","AUC45","AUC46","AUC47","AUC48","AUC49","AUC50","AUC51"
229,"BADAJO",0.944024340337704,0.948294575022686,0.938757717559561,0.941159724569863,0.939825276230806,0.938010426489689,0.947831966265146,0.946711029660338,0.942832233154814,0.949824742451471,0.939576179207516,0.940964005480134,0.939344874828746,0.939878654164368,0.940430226144512,0.941782467128089,0.948365745600769,0.941106346636301,0.940999590769176,0.940786079034927,0.936462466416383,0.948899524936391,0.941533370104799,0.948063270643916,0.948828354358308,0.939327082184225,0.94840133088981,0.948347952956248,0.942529758197961,0.948454708823372,0.94863263526858,0.947529491308293,0.948970695514474,0.947511698663772,0.941942600928776,0.941106346636301,0.941924808284255,0.948419123534331,0.940714908456844,0.93897122929381,0.936836111951319,0.94226286853015,0.941070761347259,0.939611764496557,0.940092165898618,0.942138320018504,0.939255911606142,0.947956514776791,0.948187819155561,0.948187819155561,0.940590359945199
230,"MADRID",0.939440108620171,0.937916524154514,0.935283936030181,0.934154203331157,0.933946912927666,0.934154203331157,0.936838614056362,0.932931189950561,0.934807168102153,0.935698516837163,0.933283583636496,0.935346123151229,0.934651700299535,0.934174932371506,0.935708881357338,0.935190655348611,0.936652052693221,0.933211031995274,0.933211031995274,0.934599877698662,0.934516961537266,0.933615248282081,0.932454422022532,0.934029829089062,0.934568784138138,0.934506597017091,0.935491226433672,0.935936900801177,0.935688152316988,0.937957982235212,0.933739622524175,0.933988371008364,0.934050558129411,0.93509737466704,0.935128468227563,0.934568784138138,0.93521138438896,0.93386399676627,0.932879367349689,0.934558419617964,0.93598872340205,0.933604883761906,0.936030181482748,0.935522319994196,0.935543049034545,0.935107739187214,0.935657058756465,0.934009100048713,0.935087010146865,0.93251660914358,0.935180290828436
231,"MALAGA",0.888646922183508,0.886632549361208,0.873566347270616,0.882894163763066,0.87908318815331,0.880172038327526,0.87928281068525,0.880026858304297,0.882984901277584,0.882095673635308,0.880516840882695,0.882894163763066,0.881424216027875,0.881986788617886,0.882095673635308,0.882821573751452,0.880426103368177,0.881460511033682,0.881424216027875,0.881914198606272,0.881170150987224,0.880752758420441,0.882894163763066,0.881896051103368,0.881333478513357,0.88245862369338,0.882131968641115,0.878738385598142,0.882131968641115,0.879936120789779,0.880516840882695,0.882930458768873,0.88180531358885,0.882240853658537,0.882095673635308,0.881877903600465,0.880172038327526,0.881660133565621,0.882821573751452,0.881152003484321,0.882676393728223,0.882113821138211,0.880008710801394,0.884200783972125,0.880553135888502,0.88200493612079,0.88109756097561,0.883692653890825,0.882549361207898,0.88336599883856,0.883474883855981
232,"NAVACE",0.945961097204839,0.94761681268252,0.944122861910722,0.948777117229871,0.945765540258657,0.947395181476846,0.947382144347101,0.947108364622445,0.947473404255319,0.949181268251982,0.946469545264914,0.948086149353358,0.947538589904047,0.945856800166875,0.947838443888194,0.947786295369212,0.946925844806007,0.947773258239466,0.947773258239466,0.947095327492699,0.947160513141427,0.947851481017939,0.947264810179391,0.947395181476846,0.947173550271172,0.946586879432624,0.947773258239466,0.946691176470588,0.948073112223613,0.946912807676262,0.948242594910305,0.946951919065499,0.948555486024197,0.946991030454735,0.948047037964122,0.947303921568627,0.948542448894451,0.947981852315394,0.947303921568627,0.948764080100125,0.949363788068419,0.94622183979975,0.947004067584481,0.946730287859825,0.94799488944514,0.943823007926575,0.947004067584481,0.947056216103463,0.945908948685857,0.945817688777639,0.947447329995828
233,"SALAMA",0.938183026075403,0.933333333333333,0.931583900791674,0.92804074627692,0.924320434036428,0.93217073575818,0.927974312129768,0.927763937330454,0.929723744671428,0.928085035708354,0.927177102363948,0.928018601561202,0.927619996678293,0.927730720256879,0.927354260089686,0.924818690140065,0.927354260089686,0.927188174721807,0.929900902397165,0.926966727564635,0.929723744671428,0.924995847865803,0.928383989370536,0.927741792614737,0.929026186126336,0.927763937330454,0.929646238166418,0.927963239771909,0.926512760892432,0.927885733266899,0.927752864972596,0.924364723467862,0.931417815423795,0.926778497481039,0.930233073132924,0.925903781210209,0.928018601561202,0.927631069036151,0.924397940541438,0.927210319437524,0.929258705641366,0.928007529203344,0.926512760892432,0.926468471460998,0.929967336544317,0.928107180424071,0.929878757681448,0.927199247079666,0.929214416209932,0.927011016996069,0.927132812932514
234,"SAN SE",0.919199661146856,0.913289900966135,0.915790959882208,0.898243207809758,0.896004356683273,0.907198612315698,0.910425785110632,0.905564856088263,0.906472498436838,0.89919118981827,0.911353597289175,0.90729946146554,0.907823877044716,0.90645232860687,0.903608382581335,0.911071219669618,0.905948082857661,0.908368462453861,0.90633130962706,0.906512838096775,0.91141410677908,0.904052118840638,0.911111559329555,0.910405615280663,0.911232578309365,0.908428971943766,0.908549990923576,0.908469311603703,0.910627483410315,0.906533007926743,0.908328122793925,0.911212408479397,0.91516569515319,0.909175255652595,0.911615805078763,0.907763367554811,0.905040440509086,0.909901369531455,0.904697553399625,0.906734706226426,0.908186933984147,0.911615805078763,0.908650840073418,0.908348292623893,0.904818572379435,0.907259121805603,0.907097763165856,0.912241069807782,0.910546804090442,0.905564856088263,0.909538312592025
236,"TORTOS",0.83795827913475,0.823324661559956,0.807920219684926,0.814375873199403,0.818675627499157,0.821301247771836,0.817772317772318,0.819759599171364,0.823710073710074,0.830575227634051,0.823011514187985,0.819386231150937,0.822626102037867,0.823083778966132,0.823987088692971,0.822842896372308,0.824733824733825,0.822626102037867,0.822096160331454,0.825685310979429,0.824517030399383,0.822397263573734,0.819398275280628,0.817374861492509,0.816447463506287,0.819036951389893,0.814327696680638,0.821758924700101,0.825540781423134,0.827600327600328,0.822686322686323,0.823119911355205,0.830141638965168,0.823071734836441,0.825721443368502,0.825131281013634,0.822541793130028,0.823794382617912,0.818964686611745,0.817471214530038,0.818976730741437,0.822361131184661,0.825576913812208,0.814761285349521,0.823348749819338,0.823312617430265,0.821204894734306,0.823192176133353,0.824625427566604,0.823637808931927,0.82691381220793
237,"VALENC",0.858345891321691,0.849983748485654,0.842301214431345,0.843660431994799,0.833614041308395,0.833407203853086,0.838046272493573,0.844310492568626,0.842035280560234,0.83946458647283,0.830156900983955,0.834618680377035,0.8436604319948,0.852081671246639,0.848269952427385,0.843158112460479,0.847324409774547,0.84218302159974,0.844605974647638,0.842892178589369,0.834530035753332,0.840735159412582,0.838696333067399,0.843542239163195,0.851874833791331,0.847265313358745,0.838814525899004,0.846260674290104,0.843512690955294,0.84540377626097,0.84416275152912,0.845876547587389,0.838519043819992,0.840291936294064,0.844310492568626,0.839050911562214,0.842626244718258,0.832698046863458,0.844280944360725,0.837337115503945,0.83648021747481,0.842094376976036,0.84540377626097,0.832166179121236,0.84738350619035,0.84241940726295,0.844990101350353,0.845344679845167,0.843749076618503,0.837484856543451,0.83795762786987
238,"ZARAGO",0.901775147928994,0.900156430660409,0.892770182955859,0.892688566959124,0.883574780657009,0.89293341494933,0.8935183295926,0.896850982792627,0.892212473644834,0.893681561586071,0.897177446779569,0.892906209617085,0.894851390872611,0.896007617493029,0.897680745426104,0.893967217574645,0.893191865605659,0.894320886893831,0.893015030946065,0.893940012242399,0.894715364211385,0.893858396245664,0.892593348296266,0.891668366999932,0.893355097599129,0.891913214990138,0.895517921512616,0.89293341494933,0.896062028157519,0.897789566755084,0.892484526967286,0.896143644154254,0.897123036115079,0.896578929470176,0.892838196286472,0.892906209617085,0.894756172209753,0.895735564170577,0.892212473644834,0.895069033530572,0.891886009657893,0.89053934571176,0.894062436237503,0.892579745630144,0.892810990954227,0.892919812283207,0.892389308304428,0.893858396245664,0.895313881520778,0.891532340338706,0.89909542270285
335,"FABRA ",0.860981912144703,0.850227636274148,0.851925679832657,0.839571797711333,0.845994832041344,0.855370985603544,0.844690537713794,0.849932324350929,0.843804601944137,0.844026085886551,0.842352651654977,0.852688568967639,0.850965916082195,0.845035068290882,0.852024117140396,0.845158114925557,0.847938968869201,0.850129198966408,0.850276854928018,0.84953857511997,0.852713178294574,0.847692875599852,0.853869816660514,0.847865140888397,0.847742094253722,0.850818260120586,0.853303802141011,0.85359911406423,0.85244247569829,0.84823428079242,0.8416635905008,0.853574504737295,0.856970591854313,0.85234403839055,0.851433493293958,0.854608096468562,0.84978466838932,0.849317091177556,0.845133505598622,0.849194044542882,0.846044050695213,0.848800295311923,0.844026085886551,0.834920634920635,0.851605758582503,0.851999507813461,0.851679586563307,0.846339362618432,0.85239325704442,0.844518272425249,0.85369755137197
